freq,unit,sector,cofog99,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,GF01,TE,DE,190701.0,,2018
A,MIO_EUR,S13,GF01,TE,DE,199125.0,,2019
A,MIO_EUR,S13,GF01,TE,DE,205500.0,,2020
A,MIO_EUR,S13,GF01,TE,DE,219515.0,,2021
A,MIO_EUR,S13,GF01,TE,DE,232877.0,p,2022
A,MIO_EUR,S13,GF01,TE,DE,256300.0,p,2023
A,MIO_EUR,S13,GF01,TE,DE,277890.0,p,2024
A,MIO_EUR,S13,GF01,TE,ES,67520.0,,2018
A,MIO_EUR,S13,GF01,TE,ES,67671.0,,2019
A,MIO_EUR,S13,GF01,TE,ES,66059.0,,2020
A,MIO_EUR,S13,GF01,TE,ES,70976.0,,2021
A,MIO_EUR,S13,GF01,TE,ES,77818.0,,2022
A,MIO_EUR,S13,GF01,TE,ES,84425.0,,2023
A,MIO_EUR,S13,GF01,TE,ES,92551.0,p,2024
A,MIO_EUR,S13,GF01,TE,EU27_2020,801856.4,,2018
A,MIO_EUR,S13,GF01,TE,EU27_2020,807005.1,,2019
A,MIO_EUR,S13,GF01,TE,EU27_2020,815561.4,,2020
A,MIO_EUR,S13,GF01,TE,EU27_2020,865300.6,,2021
A,MIO_EUR,S13,GF01,TE,EU27_2020,943982.1,,2022
A,MIO_EUR,S13,GF01,TE,EU27_2020,1012243.5,,2023
A,MIO_EUR,S13,GF01,TE,EU27_2020,1095578.4,,2024
A,MIO_EUR,S13,GF01,TE,FR,146091.7,,2018
A,MIO_EUR,S13,GF01,TE,FR,145857.8,,2019
A,MIO_EUR,S13,GF01,TE,FR,140897.9,,2020
A,MIO_EUR,S13,GF01,TE,FR,152710.7,,2021
A,MIO_EUR,S13,GF01,TE,FR,173221.6,,2022
A,MIO_EUR,S13,GF01,TE,FR,174763.5,p,2023
A,MIO_EUR,S13,GF01,TE,FR,181103.2,p,2024
A,MIO_EUR,S13,GF01,TE,IT,136531.0,,2018
A,MIO_EUR,S13,GF01,TE,IT,132178.0,,2019
A,MIO_EUR,S13,GF01,TE,IT,133863.0,,2020
A,MIO_EUR,S13,GF01,TE,IT,141809.0,,2021
A,MIO_EUR,S13,GF01,TE,IT,162393.0,,2022
A,MIO_EUR,S13,GF01,TE,IT,158234.0,,2023
A,MIO_EUR,S13,GF01,TE,IT,170414.0,,2024
A,MIO_EUR,S13,GF01,TE,PT,14550.1,,2018
A,MIO_EUR,S13,GF01,TE,PT,13960.9,,2019
A,MIO_EUR,S13,GF01,TE,PT,13914.1,,2020
A,MIO_EUR,S13,GF01,TE,PT,14105.5,,2021
A,MIO_EUR,S13,GF01,TE,PT,13554.1,,2022
A,MIO_EUR,S13,GF01,TE,PT,15750.1,,2023
A,MIO_EUR,S13,GF01,TE,PT,16871.8,p,2024
A,MIO_EUR,S13,GF02,TE,DE,36204.0,,2018
A,MIO_EUR,S13,GF02,TE,DE,37362.0,,2019
A,MIO_EUR,S13,GF02,TE,DE,38714.0,,2020
A,MIO_EUR,S13,GF02,TE,DE,41927.0,,2021
A,MIO_EUR,S13,GF02,TE,DE,46070.0,p,2022
A,MIO_EUR,S13,GF02,TE,DE,52690.0,p,2023
A,MIO_EUR,S13,GF02,TE,DE,58583.0,p,2024
A,MIO_EUR,S13,GF02,TE,ES,10287.0,,2018
A,MIO_EUR,S13,GF02,TE,ES,10537.0,,2019
A,MIO_EUR,S13,GF02,TE,ES,10549.0,,2020
A,MIO_EUR,S13,GF02,TE,ES,11716.0,,2021
A,MIO_EUR,S13,GF02,TE,ES,15347.0,,2022
A,MIO_EUR,S13,GF02,TE,ES,14008.0,,2023
A,MIO_EUR,S13,GF02,TE,ES,14233.0,p,2024
A,MIO_EUR,S13,GF02,TE,EU27_2020,161826.4,,2018
A,MIO_EUR,S13,GF02,TE,EU27_2020,167864.4,,2019
A,MIO_EUR,S13,GF02,TE,EU27_2020,176113.1,,2020
A,MIO_EUR,S13,GF02,TE,EU27_2020,185398.7,,2021
A,MIO_EUR,S13,GF02,TE,EU27_2020,206623.1,,2022
A,MIO_EUR,S13,GF02,TE,EU27_2020,232115.4,,2023
A,MIO_EUR,S13,GF02,TE,EU27_2020,266360.4,,2024
A,MIO_EUR,S13,GF02,TE,FR,41287.8,,2018
A,MIO_EUR,S13,GF02,TE,FR,41887.6,,2019
A,MIO_EUR,S13,GF02,TE,FR,43283.3,,2020
A,MIO_EUR,S13,GF02,TE,FR,43308.5,,2021
A,MIO_EUR,S13,GF02,TE,FR,47675.0,,2022
A,MIO_EUR,S13,GF02,TE,FR,51179.8,p,2023
A,MIO_EUR,S13,GF02,TE,FR,54199.0,p,2024
A,MIO_EUR,S13,GF02,TE,IT,21995.0,,2018
A,MIO_EUR,S13,GF02,TE,IT,23060.0,,2019
A,MIO_EUR,S13,GF02,TE,IT,22726.0,,2020
A,MIO_EUR,S13,GF02,TE,IT,24994.0,,2021
A,MIO_EUR,S13,GF02,TE,IT,24037.0,,2022
A,MIO_EUR,S13,GF02,TE,IT,25513.0,,2023
A,MIO_EUR,S13,GF02,TE,IT,28301.0,,2024
A,MIO_EUR,S13,GF02,TE,PT,1771.3,,2018
A,MIO_EUR,S13,GF02,TE,PT,1753.0,,2019
A,MIO_EUR,S13,GF02,TE,PT,1661.3,,2020
A,MIO_EUR,S13,GF02,TE,PT,1783.2,,2021
A,MIO_EUR,S13,GF02,TE,PT,1841.0,,2022
A,MIO_EUR,S13,GF02,TE,PT,2075.5,,2023
A,MIO_EUR,S13,GF02,TE,PT,2525.8,p,2024
A,MIO_EUR,S13,GF03,TE,DE,53198.0,,2018
A,MIO_EUR,S13,GF03,TE,DE,56159.0,,2019
A,MIO_EUR,S13,GF03,TE,DE,58047.0,,2020
A,MIO_EUR,S13,GF03,TE,DE,60819.0,,2021
A,MIO_EUR,S13,GF03,TE,DE,62992.0,p,2022
A,MIO_EUR,S13,GF03,TE,DE,67760.0,p,2023
A,MIO_EUR,S13,GF03,TE,DE,70657.0,p,2024
A,MIO_EUR,S13,GF03,TE,ES,21542.0,,2018
A,MIO_EUR,S13,GF03,TE,ES,22685.0,,2019
A,MIO_EUR,S13,GF03,TE,ES,23458.0,,2020
A,MIO_EUR,S13,GF03,TE,ES,24540.0,,2021
A,MIO_EUR,S13,GF03,TE,ES,25798.0,,2022
A,MIO_EUR,S13,GF03,TE,ES,27414.0,,2023
A,MIO_EUR,S13,GF03,TE,ES,28628.0,p,2024
A,MIO_EUR,S13,GF03,TE,EU27_2020,226210.1,,2018
A,MIO_EUR,S13,GF03,TE,EU27_2020,236338.0,,2019
A,MIO_EUR,S13,GF03,TE,EU27_2020,245369.7,,2020
A,MIO_EUR,S13,GF03,TE,EU27_2020,254548.7,,2021
A,MIO_EUR,S13,GF03,TE,EU27_2020,270562.0,,2022
A,MIO_EUR,S13,GF03,TE,EU27_2020,292360.6,,2023
A,MIO_EUR,S13,GF03,TE,EU27_2020,313910.3,,2024
A,MIO_EUR,S13,GF03,TE,FR,38606.2,,2018
A,MIO_EUR,S13,GF03,TE,FR,40211.1,,2019
A,MIO_EUR,S13,GF03,TE,FR,41220.2,,2020
A,MIO_EUR,S13,GF03,TE,FR,42775.7,,2021
A,MIO_EUR,S13,GF03,TE,FR,45474.5,,2022
A,MIO_EUR,S13,GF03,TE,FR,48711.9,p,2023
A,MIO_EUR,S13,GF03,TE,FR,52113.0,p,2024
A,MIO_EUR,S13,GF03,TE,IT,32503.0,,2018
A,MIO_EUR,S13,GF03,TE,IT,32921.0,,2019
A,MIO_EUR,S13,GF03,TE,IT,33513.0,,2020
A,MIO_EUR,S13,GF03,TE,IT,33899.0,,2021
A,MIO_EUR,S13,GF03,TE,IT,35200.0,,2022
A,MIO_EUR,S13,GF03,TE,IT,36209.0,,2023
A,MIO_EUR,S13,GF03,TE,IT,39094.0,,2024
A,MIO_EUR,S13,GF03,TE,PT,3508.4,,2018
A,MIO_EUR,S13,GF03,TE,PT,3546.4,,2019
A,MIO_EUR,S13,GF03,TE,PT,3817.7,,2020
A,MIO_EUR,S13,GF03,TE,PT,3800.5,,2021
A,MIO_EUR,S13,GF03,TE,PT,3973.6,,2022
A,MIO_EUR,S13,GF03,TE,PT,4341.4,,2023
A,MIO_EUR,S13,GF03,TE,PT,4777.6,p,2024
A,MIO_EUR,S13,GF04,TE,DE,153358.0,,2018
A,MIO_EUR,S13,GF04,TE,DE,162041.0,,2019
A,MIO_EUR,S13,GF04,TE,DE,201873.0,,2020
A,MIO_EUR,S13,GF04,TE,DE,240359.0,,2021
A,MIO_EUR,S13,GF04,TE,DE,223245.0,p,2022
A,MIO_EUR,S13,GF04,TE,DE,246570.0,p,2023
A,MIO_EUR,S13,GF04,TE,DE,234556.0,p,2024
A,MIO_EUR,S13,GF04,TE,ES,51532.0,,2018
A,MIO_EUR,S13,GF04,TE,ES,52761.0,,2019
A,MIO_EUR,S13,GF04,TE,ES,65789.0,,2020
A,MIO_EUR,S13,GF04,TE,ES,78943.0,,2021
A,MIO_EUR,S13,GF04,TE,ES,77131.0,,2022
A,MIO_EUR,S13,GF04,TE,ES,74851.0,,2023
A,MIO_EUR,S13,GF04,TE,ES,80908.0,p,2024
A,MIO_EUR,S13,GF04,TE,EU27_2020,653669.0,,2018
A,MIO_EUR,S13,GF04,TE,EU27_2020,663881.1,,2019
A,MIO_EUR,S13,GF04,TE,EU27_2020,883129.9,,2020
A,MIO_EUR,S13,GF04,TE,EU27_2020,965110.1,,2021
A,MIO_EUR,S13,GF04,TE,EU27_2020,966220.0,,2022
A,MIO_EUR,S13,GF04,TE,EU27_2020,997687.5,,2023
A,MIO_EUR,S13,GF04,TE,EU27_2020,953911.6,,2024
A,MIO_EUR,S13,GF04,TE,FR,141294.6,,2018
A,MIO_EUR,S13,GF04,TE,FR,129805.5,,2019
A,MIO_EUR,S13,GF04,TE,FR,162270.1,,2020
A,MIO_EUR,S13,GF04,TE,FR,177418.9,,2021
A,MIO_EUR,S13,GF04,TE,FR,179788.7,,2022
A,MIO_EUR,S13,GF04,TE,FR,177620.3,p,2023
A,MIO_EUR,S13,GF04,TE,FR,166072.8,p,2024
