freq,unit,sector,cofog99,na_item,geo,valor,estado,anyo
A,PC_GDP,S13,GF01,TE,DE,5.6,,2018
A,PC_GDP,S13,GF01,TE,DE,5.6,,2019
A,PC_GDP,S13,GF01,TE,DE,6.0,,2020
A,PC_GDP,S13,GF01,TE,DE,6.0,,2021
A,PC_GDP,S13,GF01,TE,DE,5.8,p,2022
A,PC_GDP,S13,GF01,TE,DE,6.1,p,2023
A,PC_GDP,S13,GF01,TE,DE,6.4,p,2024
A,PC_GDP,S13,GF01,TE,ES,5.6,,2018
A,PC_GDP,S13,GF01,TE,ES,5.4,,2019
A,PC_GDP,S13,GF01,TE,ES,5.8,,2020
A,PC_GDP,S13,GF01,TE,ES,5.7,,2021
A,PC_GDP,S13,GF01,TE,ES,5.7,,2022
A,PC_GDP,S13,GF01,TE,ES,5.6,,2023
A,PC_GDP,S13,GF01,TE,ES,5.8,p,2024
A,PC_GDP,S13,GF01,TE,EU27_2020,5.9,,2018
A,PC_GDP,S13,GF01,TE,EU27_2020,5.7,,2019
A,PC_GDP,S13,GF01,TE,EU27_2020,6.0,,2020
A,PC_GDP,S13,GF01,TE,EU27_2020,5.8,,2021
A,PC_GDP,S13,GF01,TE,EU27_2020,5.8,,2022
A,PC_GDP,S13,GF01,TE,EU27_2020,5.9,,2023
A,PC_GDP,S13,GF01,TE,EU27_2020,6.1,,2024
A,PC_GDP,S13,GF01,TE,FR,6.2,,2018
A,PC_GDP,S13,GF01,TE,FR,6.0,,2019
A,PC_GDP,S13,GF01,TE,FR,6.1,,2020
A,PC_GDP,S13,GF01,TE,FR,6.1,,2021
A,PC_GDP,S13,GF01,TE,FR,6.5,,2022
A,PC_GDP,S13,GF01,TE,FR,6.2,p,2023
A,PC_GDP,S13,GF01,TE,FR,6.2,p,2024
A,PC_GDP,S13,GF01,TE,IT,7.7,,2018
A,PC_GDP,S13,GF01,TE,IT,7.3,,2019
A,PC_GDP,S13,GF01,TE,IT,8.0,,2020
A,PC_GDP,S13,GF01,TE,IT,7.7,,2021
A,PC_GDP,S13,GF01,TE,IT,8.1,,2022
A,PC_GDP,S13,GF01,TE,IT,7.4,,2023
A,PC_GDP,S13,GF01,TE,IT,7.7,,2024
A,PC_GDP,S13,GF01,TE,PT,7.1,,2018
