freq,unit,sector,cofog99,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,GF1001,TE,DE,105460.0,,2018
A,MIO_EUR,S13,GF1001,TE,DE,111649.0,,2019
A,MIO_EUR,S13,GF1001,TE,DE,117422.0,,2020
A,MIO_EUR,S13,GF1001,TE,DE,119592.0,,2021
A,MIO_EUR,S13,GF1001,TE,DE,123650.0,p,2022
A,MIO_EUR,S13,GF1001,TE,DE,134170.0,p,2023
A,MIO_EUR,S13,GF1001,TE,DE,143927.0,p,2024
A,MIO_EUR,S13,GF1001,TE,ES,29376.0,,2018
A,MIO_EUR,S13,GF1001,TE,ES,31379.0,,2019
A,MIO_EUR,S13,GF1001,TE,ES,34136.0,,2020
A,MIO_EUR,S13,GF1001,TE,ES,35295.0,,2021
A,MIO_EUR,S13,GF1001,TE,ES,37445.0,,2022
A,MIO_EUR,S13,GF1001,TE,ES,40134.0,,2023
A,MIO_EUR,S13,GF1001,TE,ES,44019.0,p,2024
A,MIO_EUR,S13,GF1001,TE,EU27_2020,365018.4,,2018
A,MIO_EUR,S13,GF1001,TE,EU27_2020,382033.9,,2019
A,MIO_EUR,S13,GF1001,TE,EU27_2020,404504.1,,2020
A,MIO_EUR,S13,GF1001,TE,EU27_2020,416971.0,,2021
A,MIO_EUR,S13,GF1001,TE,EU27_2020,437183.7,,2022
A,MIO_EUR,S13,GF1001,TE,EU27_2020,461686.0,,2023
A,MIO_EUR,S13,GF1001,TE,EU27_2020,499671.2,,2024
A,MIO_EUR,S13,GF1001,TE,FR,65334.6,,2018
A,MIO_EUR,S13,GF1001,TE,FR,67575.8,,2019
A,MIO_EUR,S13,GF1001,TE,FR,71819.8,,2020
A,MIO_EUR,S13,GF1001,TE,FR,72585.5,,2021
A,MIO_EUR,S13,GF1001,TE,FR,78446.8,,2022
A,MIO_EUR,S13,GF1001,TE,FR,78381.9,p,2023
A,MIO_EUR,S13,GF1001,TE,FR,83898.9,p,2024
A,MIO_EUR,S13,GF1001,TE,IT,31200.0,,2018
A,MIO_EUR,S13,GF1001,TE,IT,32047.0,,2019
A,MIO_EUR,S13,GF1001,TE,IT,33258.0,,2020
A,MIO_EUR,S13,GF1001,TE,IT,35025.0,,2021
A,MIO_EUR,S13,GF1001,TE,IT,34621.0,,2022
A,MIO_EUR,S13,GF1001,TE,IT,35911.0,,2023
A,MIO_EUR,S13,GF1001,TE,IT,37782.0,,2024
A,MIO_EUR,S13,GF1001,TE,PT,2902.9,,2018
A,MIO_EUR,S13,GF1001,TE,PT,3191.6,,2019
A,MIO_EUR,S13,GF1001,TE,PT,2954.6,,2020
A,MIO_EUR,S13,GF1001,TE,PT,3071.6,,2021
A,MIO_EUR,S13,GF1001,TE,PT,3345.8,,2022
A,MIO_EUR,S13,GF1001,TE,PT,2852.4,,2023
A,MIO_EUR,S13,GF1001,TE,PT,3192.0,p,2024
A,MIO_EUR,S13,GF1002,TE,DE,318187.0,,2018
A,MIO_EUR,S13,GF1002,TE,DE,335084.0,,2019
A,MIO_EUR,S13,GF1002,TE,DE,350340.0,,2020
A,MIO_EUR,S13,GF1002,TE,DE,360163.0,,2021
A,MIO_EUR,S13,GF1002,TE,DE,384060.0,p,2022
A,MIO_EUR,S13,GF1002,TE,DE,396193.0,p,2023
A,MIO_EUR,S13,GF1002,TE,DE,427228.0,p,2024
A,MIO_EUR,S13,GF1002,TE,ES,112641.0,,2018
A,MIO_EUR,S13,GF1002,TE,ES,118714.0,,2019
A,MIO_EUR,S13,GF1002,TE,ES,122744.0,,2020
A,MIO_EUR,S13,GF1002,TE,ES,129584.0,,2021
A,MIO_EUR,S13,GF1002,TE,ES,137505.0,,2022
A,MIO_EUR,S13,GF1002,TE,ES,153051.0,,2023
A,MIO_EUR,S13,GF1002,TE,ES,165050.0,p,2024
A,MIO_EUR,S13,GF1002,TE,EU27_2020,1411578.9,,2018
A,MIO_EUR,S13,GF1002,TE,EU27_2020,1470755.3,,2019
A,MIO_EUR,S13,GF1002,TE,EU27_2020,1526721.6,,2020
A,MIO_EUR,S13,GF1002,TE,EU27_2020,1576839.2,,2021
A,MIO_EUR,S13,GF1002,TE,EU27_2020,1664904.6,,2022
A,MIO_EUR,S13,GF1002,TE,EU27_2020,1791594.1,,2023
A,MIO_EUR,S13,GF1002,TE,EU27_2020,1928367.8,,2024
A,MIO_EUR,S13,GF1002,TE,FR,317405.5,,2018
A,MIO_EUR,S13,GF1002,TE,FR,324805.7,,2019
A,MIO_EUR,S13,GF1002,TE,FR,332305.1,,2020
A,MIO_EUR,S13,GF1002,TE,FR,336590.7,,2021
A,MIO_EUR,S13,GF1002,TE,FR,350658.6,,2022
A,MIO_EUR,S13,GF1002,TE,FR,369078.8,p,2023
A,MIO_EUR,S13,GF1002,TE,FR,391954.3,p,2024
A,MIO_EUR,S13,GF1002,TE,IT,236729.0,,2018
A,MIO_EUR,S13,GF1002,TE,IT,244532.0,,2019
A,MIO_EUR,S13,GF1002,TE,IT,252214.0,,2020
A,MIO_EUR,S13,GF1002,TE,IT,258264.0,,2021
A,MIO_EUR,S13,GF1002,TE,IT,269710.0,,2022
A,MIO_EUR,S13,GF1002,TE,IT,290902.0,,2023
A,MIO_EUR,S13,GF1002,TE,IT,306359.0,,2024
A,MIO_EUR,S13,GF1002,TE,PT,23356.8,,2018
A,MIO_EUR,S13,GF1002,TE,PT,24178.6,,2019
A,MIO_EUR,S13,GF1002,TE,PT,24761.3,,2020
A,MIO_EUR,S13,GF1002,TE,PT,24948.1,,2021
A,MIO_EUR,S13,GF1002,TE,PT,26821.3,,2022
A,MIO_EUR,S13,GF1002,TE,PT,28211.3,,2023
A,MIO_EUR,S13,GF1002,TE,PT,31407.2,p,2024
A,MIO_EUR,S13,GF1003,TE,DE,62415.0,,2018
A,MIO_EUR,S13,GF1003,TE,DE,65787.0,,2019
A,MIO_EUR,S13,GF1003,TE,DE,68374.0,,2020
A,MIO_EUR,S13,GF1003,TE,DE,70221.0,,2021
A,MIO_EUR,S13,GF1003,TE,DE,72741.0,p,2022
A,MIO_EUR,S13,GF1003,TE,DE,76493.0,p,2023
A,MIO_EUR,S13,GF1003,TE,DE,80844.0,p,2024
A,MIO_EUR,S13,GF1003,TE,ES,26736.0,,2018
A,MIO_EUR,S13,GF1003,TE,ES,28268.0,,2019
A,MIO_EUR,S13,GF1003,TE,ES,28769.0,,2020
A,MIO_EUR,S13,GF1003,TE,ES,29794.0,,2021
A,MIO_EUR,S13,GF1003,TE,ES,30854.0,,2022
A,MIO_EUR,S13,GF1003,TE,ES,33633.0,,2023
A,MIO_EUR,S13,GF1003,TE,ES,35425.0,p,2024
A,MIO_EUR,S13,GF1003,TE,EU27_2020,206975.1,,2018
A,MIO_EUR,S13,GF1003,TE,EU27_2020,213955.7,,2019
A,MIO_EUR,S13,GF1003,TE,EU27_2020,218016.4,,2020
A,MIO_EUR,S13,GF1003,TE,EU27_2020,223382.7,,2021
A,MIO_EUR,S13,GF1003,TE,EU27_2020,231240.7,,2022
A,MIO_EUR,S13,GF1003,TE,EU27_2020,247267.0,,2023
A,MIO_EUR,S13,GF1003,TE,EU27_2020,262662.9,,2024
A,MIO_EUR,S13,GF1003,TE,FR,34957.9,,2018
A,MIO_EUR,S13,GF1003,TE,FR,35415.8,,2019
A,MIO_EUR,S13,GF1003,TE,FR,35749.5,,2020
A,MIO_EUR,S13,GF1003,TE,FR,35903.9,,2021
A,MIO_EUR,S13,GF1003,TE,FR,36931.8,,2022
A,MIO_EUR,S13,GF1003,TE,FR,38598.5,p,2023
A,MIO_EUR,S13,GF1003,TE,FR,40608.3,p,2024
A,MIO_EUR,S13,GF1003,TE,IT,44916.0,,2018
A,MIO_EUR,S13,GF1003,TE,IT,45367.0,,2019
A,MIO_EUR,S13,GF1003,TE,IT,45453.0,,2020
A,MIO_EUR,S13,GF1003,TE,IT,45655.0,,2021
A,MIO_EUR,S13,GF1003,TE,IT,46867.0,,2022
A,MIO_EUR,S13,GF1003,TE,IT,50357.0,,2023
A,MIO_EUR,S13,GF1003,TE,IT,53213.0,,2024
A,MIO_EUR,S13,GF1003,TE,PT,3497.7,,2018
A,MIO_EUR,S13,GF1003,TE,PT,3575.2,,2019
A,MIO_EUR,S13,GF1003,TE,PT,3655.7,,2020
A,MIO_EUR,S13,GF1003,TE,PT,3800.0,,2021
A,MIO_EUR,S13,GF1003,TE,PT,3931.6,,2022
A,MIO_EUR,S13,GF1003,TE,PT,4545.4,,2023
A,MIO_EUR,S13,GF1003,TE,PT,5052.3,p,2024
A,MIO_EUR,S13,GF1004,TE,DE,57677.0,,2018
A,MIO_EUR,S13,GF1004,TE,DE,60068.0,,2019
A,MIO_EUR,S13,GF1004,TE,DE,69812.0,,2020
A,MIO_EUR,S13,GF1004,TE,DE,69809.0,,2021
A,MIO_EUR,S13,GF1004,TE,DE,70794.0,p,2022
A,MIO_EUR,S13,GF1004,TE,DE,78849.0,p,2023
A,MIO_EUR,S13,GF1004,TE,DE,83763.0,p,2024
A,MIO_EUR,S13,GF1004,TE,ES,9981.0,,2018
A,MIO_EUR,S13,GF1004,TE,ES,11671.0,,2019
A,MIO_EUR,S13,GF1004,TE,ES,11657.0,,2020
A,MIO_EUR,S13,GF1004,TE,ES,12625.0,,2021
A,MIO_EUR,S13,GF1004,TE,ES,13229.0,,2022
A,MIO_EUR,S13,GF1004,TE,ES,14664.0,,2023
A,MIO_EUR,S13,GF1004,TE,ES,15294.0,p,2024
A,MIO_EUR,S13,GF1004,TE,EU27_2020,245355.2,,2018
A,MIO_EUR,S13,GF1004,TE,EU27_2020,257661.3,,2019
A,MIO_EUR,S13,GF1004,TE,EU27_2020,277467.5,,2020
A,MIO_EUR,S13,GF1004,TE,EU27_2020,286105.2,,2021
A,MIO_EUR,S13,GF1004,TE,EU27_2020,308151.0,,2022
A,MIO_EUR,S13,GF1004,TE,EU27_2020,331189.1,,2023
A,MIO_EUR,S13,GF1004,TE,EU27_2020,358651.4,,2024
A,MIO_EUR,S13,GF1004,TE,FR,54900.3,,2018
A,MIO_EUR,S13,GF1004,TE,FR,55363.0,,2019
A,MIO_EUR,S13,GF1004,TE,FR,56118.6,,2020
A,MIO_EUR,S13,GF1004,TE,FR,57858.8,,2021
A,MIO_EUR,S13,GF1004,TE,FR,61134.0,,2022
A,MIO_EUR,S13,GF1004,TE,FR,64228.3,p,2023
A,MIO_EUR,S13,GF1004,TE,FR,66711.4,p,2024
A,MIO_EUR,S13,GF1004,TE,IT,16965.0,,2018
A,MIO_EUR,S13,GF1004,TE,IT,16685.0,,2019
A,MIO_EUR,S13,GF1004,TE,IT,17412.0,,2020
A,MIO_EUR,S13,GF1004,TE,IT,18838.0,,2021
A,MIO_EUR,S13,GF1004,TE,IT,26621.0,,2022
A,MIO_EUR,S13,GF1004,TE,IT,29917.0,,2023
A,MIO_EUR,S13,GF1004,TE,IT,32266.0,,2024
A,MIO_EUR,S13,GF1004,TE,PT,2212.7,,2018
A,MIO_EUR,S13,GF1004,TE,PT,2542.4,,2019
A,MIO_EUR,S13,GF1004,TE,PT,3298.0,,2020
A,MIO_EUR,S13,GF1004,TE,PT,3682.5,,2021
A,MIO_EUR,S13,GF1004,TE,PT,5158.5,,2022
A,MIO_EUR,S13,GF1004,TE,PT,4472.9,,2023
A,MIO_EUR,S13,GF1004,TE,PT,5219.8,p,2024
A,MIO_EUR,S13,GF1005,TE,DE,50712.0,,2018
A,MIO_EUR,S13,GF1005,TE,DE,52577.0,,2019
A,MIO_EUR,S13,GF1005,TE,DE,73171.0,,2020
A,MIO_EUR,S13,GF1005,TE,DE,70720.0,,2021
