freq,unit,sector,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,GD,DE,2086432.0,,2018
A,MIO_EUR,S13,GD,DE,2075789.9,,2019
A,MIO_EUR,S13,GD,DE,2347905.4,,2020
A,MIO_EUR,S13,GD,DE,2501693.1,,2021
A,MIO_EUR,S13,GD,DE,2569029.3,,2022
A,MIO_EUR,S13,GD,DE,2630547.0,,2023
A,MIO_EUR,S13,GD,DE,2693827.2,,2024
A,MIO_EUR,S13,GD,ES,1209741.8,,2018
A,MIO_EUR,S13,GD,ES,1224363.8,,2019
A,MIO_EUR,S13,GD,ES,1346916.4,,2020
A,MIO_EUR,S13,GD,ES,1429403.6,,2021
A,MIO_EUR,S13,GD,ES,1504105.1,,2022
A,MIO_EUR,S13,GD,ES,1575376.7,,2023
A,MIO_EUR,S13,GD,ES,1620573.4,,2024
A,MIO_EUR,S13,GD,EU27_2020,10836200.5,,2018
A,MIO_EUR,S13,GD,EU27_2020,10938395.7,,2019
A,MIO_EUR,S13,GD,EU27_2020,12152982.3,,2020
A,MIO_EUR,S13,GD,EU27_2020,12829581.4,,2021
A,MIO_EUR,S13,GD,EU27_2020,13316983.4,,2022
A,MIO_EUR,S13,GD,EU27_2020,13897258.4,,2023
A,MIO_EUR,S13,GD,EU27_2020,14548670.4,,2024
A,MIO_EUR,S13,GD,FR,2320737.1,,2018
A,MIO_EUR,S13,GD,FR,2387399.0,,2019
A,MIO_EUR,S13,GD,FR,2663852.0,,2020
A,MIO_EUR,S13,GD,FR,2828781.0,,2021
A,MIO_EUR,S13,GD,FR,2955639.1,,2022
A,MIO_EUR,S13,GD,FR,3103248.0,,2023
A,MIO_EUR,S13,GD,FR,3306096.7,,2024
A,MIO_EUR,S13,GD,IT,2385736.4,,2018
A,MIO_EUR,S13,GD,IT,2415645.6,,2019
A,MIO_EUR,S13,GD,IT,2578177.3,,2020
A,MIO_EUR,S13,GD,IT,2686742.9,,2021
A,MIO_EUR,S13,GD,IT,2764481.2,,2022
A,MIO_EUR,S13,GD,IT,2869976.2,,2023
A,MIO_EUR,S13,GD,IT,2967004.1,,2024
A,MIO_EUR,S13,GD,PT,248277.2,,2018
A,MIO_EUR,S13,GD,PT,249043.6,,2019
A,MIO_EUR,S13,GD,PT,269577.7,,2020
A,MIO_EUR,S13,GD,PT,268188.5,,2021
A,MIO_EUR,S13,GD,PT,271357.6,,2022
A,MIO_EUR,S13,GD,PT,261889.1,,2023
A,MIO_EUR,S13,GD,PT,270901.9,,2024
A,PC_GDP,S13,GD,DE,60.8,,2018
A,PC_GDP,S13,GD,DE,58.7,,2019
A,PC_GDP,S13,GD,DE,68.0,,2020
A,PC_GDP,S13,GD,DE,67.9,,2021
A,PC_GDP,S13,GD,DE,64.4,,2022
A,PC_GDP,S13,GD,DE,62.3,,2023
A,PC_GDP,S13,GD,DE,62.2,,2024
A,PC_GDP,S13,GD,ES,99.8,,2018
A,PC_GDP,S13,GD,ES,97.7,,2019
A,PC_GDP,S13,GD,ES,119.3,,2020
A,PC_GDP,S13,GD,ES,115.7,,2021
A,PC_GDP,S13,GD,ES,109.3,,2022
A,PC_GDP,S13,GD,ES,105.2,,2023
A,PC_GDP,S13,GD,ES,101.6,,2024
A,PC_GDP,S13,GD,EU27_2020,79.5,,2018
A,PC_GDP,S13,GD,EU27_2020,77.5,,2019
A,PC_GDP,S13,GD,EU27_2020,89.5,,2020
A,PC_GDP,S13,GD,EU27_2020,86.7,,2021
A,PC_GDP,S13,GD,EU27_2020,82.4,,2022
A,PC_GDP,S13,GD,EU27_2020,80.5,,2023
A,PC_GDP,S13,GD,EU27_2020,80.7,,2024
A,PC_GDP,S13,GD,FR,98.5,,2018
A,PC_GDP,S13,GD,FR,98.2,,2019
A,PC_GDP,S13,GD,FR,114.9,,2020
A,PC_GDP,S13,GD,FR,112.8,,2021
A,PC_GDP,S13,GD,FR,111.4,,2022
A,PC_GDP,S13,GD,FR,109.5,,2023
A,PC_GDP,S13,GD,FR,112.6,,2024
A,PC_GDP,S13,GD,IT,134.2,,2018
A,PC_GDP,S13,GD,IT,133.9,,2019
A,PC_GDP,S13,GD,IT,154.4,,2020
A,PC_GDP,S13,GD,IT,145.8,,2021
A,PC_GDP,S13,GD,IT,138.4,,2022
A,PC_GDP,S13,GD,IT,133.9,,2023
A,PC_GDP,S13,GD,IT,134.7,,2024
A,PC_GDP,S13,GD,PT,121.1,,2018
A,PC_GDP,S13,GD,PT,116.1,,2019
A,PC_GDP,S13,GD,PT,134.1,,2020
A,PC_GDP,S13,GD,PT,123.9,,2021
A,PC_GDP,S13,GD,PT,111.2,,2022
A,PC_GDP,S13,GD,PT,96.9,,2023
A,PC_GDP,S13,GD,PT,93.5,,2024
