freq,unit,sector,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,B9,DE,64667.0,,2018
A,MIO_EUR,S13,B9,DE,46949.0,,2019
A,MIO_EUR,S13,B9,DE,-151131.0,,2020
A,MIO_EUR,S13,B9,DE,-116630.0,,2021
A,MIO_EUR,S13,B9,DE,-76138.0,,2022
A,MIO_EUR,S13,B9,DE,-105249.0,,2023
A,MIO_EUR,S13,B9,DE,-115295.0,,2024
A,MIO_EUR,S13,B9,ES,-30943.0,,2018
A,MIO_EUR,S13,B9,ES,-38422.0,,2019
A,MIO_EUR,S13,B9,ES,-111897.0,,2020
A,MIO_EUR,S13,B9,ES,-82174.0,,2021
A,MIO_EUR,S13,B9,ES,-63105.0,,2022
A,MIO_EUR,S13,B9,ES,-50027.0,,2023
A,MIO_EUR,S13,B9,ES,-51267.0,,2024
A,MIO_EUR,S13,B9,EU27_2020,-54034.9,,2018
A,MIO_EUR,S13,B9,EU27_2020,-64824.5,,2019
A,MIO_EUR,S13,B9,EU27_2020,-908997.9,,2020
A,MIO_EUR,S13,B9,EU27_2020,-683593.8,,2021
A,MIO_EUR,S13,B9,EU27_2020,-509933.5,,2022
A,MIO_EUR,S13,B9,EU27_2020,-592805.2,,2023
A,MIO_EUR,S13,B9,EU27_2020,-562112.0,,2024
A,MIO_EUR,S13,B9,FR,-54616.2,,2018
A,MIO_EUR,S13,B9,FR,-58225.5,,2019
A,MIO_EUR,S13,B9,FR,-207084.4,,2020
A,MIO_EUR,S13,B9,FR,-165149.3,,2021
A,MIO_EUR,S13,B9,FR,-125895.8,,2022
A,MIO_EUR,S13,B9,FR,-151920.3,,2023
A,MIO_EUR,S13,B9,FR,-169118.1,,2024
A,MIO_EUR,S13,B9,IT,-38968.0,,2018
A,MIO_EUR,S13,B9,IT,-26161.0,,2019
A,MIO_EUR,S13,B9,IT,-156627.0,,2020
A,MIO_EUR,S13,B9,IT,-163535.0,,2021
A,MIO_EUR,S13,B9,IT,-161869.0,,2022
A,MIO_EUR,S13,B9,IT,-152867.0,,2023
A,MIO_EUR,S13,B9,IT,-73779.0,,2024
A,MIO_EUR,S13,B9,PT,-872.8,,2018
