freq,unit,sector,na_item,geo,valor,estado,anyo
A,PC_GDP,S13,B9,DE,1.9,,2018
A,PC_GDP,S13,B9,DE,1.3,,2019
A,PC_GDP,S13,B9,DE,-4.4,,2020
A,PC_GDP,S13,B9,DE,-3.2,,2021
A,PC_GDP,S13,B9,DE,-1.9,,2022
A,PC_GDP,S13,B9,DE,-2.5,,2023
A,PC_GDP,S13,B9,DE,-2.7,,2024
A,PC_GDP,S13,B9,ES,-2.6,,2018
A,PC_GDP,S13,B9,ES,-3.1,,2019
A,PC_GDP,S13,B9,ES,-9.9,,2020
A,PC_GDP,S13,B9,ES,-6.7,,2021
A,PC_GDP,S13,B9,ES,-4.6,,2022
A,PC_GDP,S13,B9,ES,-3.3,,2023
A,PC_GDP,S13,B9,ES,-3.2,,2024
A,PC_GDP,S13,B9,EU27_2020,-0.4,,2018
A,PC_GDP,S13,B9,EU27_2020,-0.5,,2019
A,PC_GDP,S13,B9,EU27_2020,-6.7,,2020
A,PC_GDP,S13,B9,EU27_2020,-4.6,,2021
A,PC_GDP,S13,B9,EU27_2020,-3.2,,2022
A,PC_GDP,S13,B9,EU27_2020,-3.4,,2023
A,PC_GDP,S13,B9,EU27_2020,-3.1,,2024
A,PC_GDP,S13,B9,FR,-2.3,,2018
A,PC_GDP,S13,B9,FR,-2.4,,2019
A,PC_GDP,S13,B9,FR,-8.9,,2020
A,PC_GDP,S13,B9,FR,-6.6,,2021
A,PC_GDP,S13,B9,FR,-4.7,,2022
A,PC_GDP,S13,B9,FR,-5.4,,2023
A,PC_GDP,S13,B9,FR,-5.8,,2024
A,PC_GDP,S13,B9,IT,-2.2,,2018
A,PC_GDP,S13,B9,IT,-1.5,,2019
A,PC_GDP,S13,B9,IT,-9.4,,2020
A,PC_GDP,S13,B9,IT,-8.9,,2021
A,PC_GDP,S13,B9,IT,-8.1,,2022
A,PC_GDP,S13,B9,IT,-7.1,,2023
A,PC_GDP,S13,B9,IT,-3.4,,2024
A,PC_GDP,S13,B9,PT,-0.4,,2018
A,PC_GDP,S13,B9,PT,0.1,,2019
A,PC_GDP,S13,B9,PT,-5.8,,2020
A,PC_GDP,S13,B9,PT,-2.8,,2021
A,PC_GDP,S13,B9,PT,-0.3,,2022
A,PC_GDP,S13,B9,PT,1.1,,2023
A,PC_GDP,S13,B9,PT,0.6,,2024
A,PC_GDP,S13,D2REC,DE,11.1,,2018
A,PC_GDP,S13,D2REC,DE,11.1,,2019
A,PC_GDP,S13,D2REC,DE,10.8,,2020
A,PC_GDP,S13,D2REC,DE,11.2,,2021
A,PC_GDP,S13,D2REC,DE,10.9,,2022
A,PC_GDP,S13,D2REC,DE,10.2,,2023
A,PC_GDP,S13,D2REC,DE,10.3,,2024
A,PC_GDP,S13,D2REC,ES,11.6,,2018
A,PC_GDP,S13,D2REC,ES,11.4,,2019
A,PC_GDP,S13,D2REC,ES,11.2,,2020
A,PC_GDP,S13,D2REC,ES,11.9,,2021
A,PC_GDP,S13,D2REC,ES,11.7,,2022
A,PC_GDP,S13,D2REC,ES,11.1,,2023
A,PC_GDP,S13,D2REC,ES,11.1,,2024
A,PC_GDP,S13,D2REC,EU27_2020,13.6,,2018
A,PC_GDP,S13,D2REC,EU27_2020,13.6,,2019
A,PC_GDP,S13,D2REC,EU27_2020,13.3,,2020
A,PC_GDP,S13,D2REC,EU27_2020,13.6,,2021
A,PC_GDP,S13,D2REC,EU27_2020,13.3,,2022
A,PC_GDP,S13,D2REC,EU27_2020,12.8,,2023
A,PC_GDP,S13,D2REC,EU27_2020,12.8,,2024
A,PC_GDP,S13,D2REC,FR,16.5,,2018
A,PC_GDP,S13,D2REC,FR,16.8,,2019
A,PC_GDP,S13,D2REC,FR,16.8,,2020
A,PC_GDP,S13,D2REC,FR,16.6,,2021
A,PC_GDP,S13,D2REC,FR,16.7,,2022
A,PC_GDP,S13,D2REC,FR,15.8,,2023
A,PC_GDP,S13,D2REC,FR,15.5,,2024
A,PC_GDP,S13,D2REC,IT,14.4,,2018
A,PC_GDP,S13,D2REC,IT,14.5,,2019
A,PC_GDP,S13,D2REC,IT,13.8,,2020
A,PC_GDP,S13,D2REC,IT,14.2,,2021
A,PC_GDP,S13,D2REC,IT,14.0,,2022
A,PC_GDP,S13,D2REC,IT,13.6,,2023
A,PC_GDP,S13,D2REC,IT,14.1,,2024
A,PC_GDP,S13,D2REC,PT,15.1,,2018
A,PC_GDP,S13,D2REC,PT,15.0,,2019
A,PC_GDP,S13,D2REC,PT,14.6,,2020
A,PC_GDP,S13,D2REC,PT,15.0,,2021
A,PC_GDP,S13,D2REC,PT,15.0,,2022
A,PC_GDP,S13,D2REC,PT,14.3,,2023
A,PC_GDP,S13,D2REC,PT,14.3,,2024
A,PC_GDP,S13,D5REC,DE,12.9,,2018
A,PC_GDP,S13,D5REC,DE,12.9,,2019
A,PC_GDP,S13,D5REC,DE,12.4,,2020
A,PC_GDP,S13,D5REC,DE,13.2,,2021
A,PC_GDP,S13,D5REC,DE,13.3,,2022
A,PC_GDP,S13,D5REC,DE,12.6,,2023
A,PC_GDP,S13,D5REC,DE,12.8,,2024
A,PC_GDP,S13,D5REC,ES,10.5,,2018
A,PC_GDP,S13,D5REC,ES,10.3,,2019
A,PC_GDP,S13,D5REC,ES,11.1,,2020
A,PC_GDP,S13,D5REC,ES,11.6,,2021
A,PC_GDP,S13,D5REC,ES,12.0,,2022
A,PC_GDP,S13,D5REC,ES,12.2,,2023
A,PC_GDP,S13,D5REC,ES,12.5,,2024
A,PC_GDP,S13,D5REC,EU27_2020,12.9,,2018
A,PC_GDP,S13,D5REC,EU27_2020,12.9,,2019
A,PC_GDP,S13,D5REC,EU27_2020,12.9,,2020
A,PC_GDP,S13,D5REC,EU27_2020,13.1,,2021
A,PC_GDP,S13,D5REC,EU27_2020,13.2,,2022
A,PC_GDP,S13,D5REC,EU27_2020,13.0,,2023
A,PC_GDP,S13,D5REC,EU27_2020,13.2,,2024
A,PC_GDP,S13,D5REC,FR,13.2,,2018
A,PC_GDP,S13,D5REC,FR,13.1,,2019
A,PC_GDP,S13,D5REC,FR,13.2,,2020
A,PC_GDP,S13,D5REC,FR,12.9,,2021
A,PC_GDP,S13,D5REC,FR,13.5,,2022
A,PC_GDP,S13,D5REC,FR,12.6,,2023
A,PC_GDP,S13,D5REC,FR,12.5,,2024
A,PC_GDP,S13,D5REC,IT,14.0,,2018
A,PC_GDP,S13,D5REC,IT,14.3,,2019
A,PC_GDP,S13,D5REC,IT,15.0,,2020
A,PC_GDP,S13,D5REC,IT,14.6,,2021
A,PC_GDP,S13,D5REC,IT,14.5,,2022
A,PC_GDP,S13,D5REC,IT,15.0,,2023
A,PC_GDP,S13,D5REC,IT,15.6,,2024
A,PC_GDP,S13,D5REC,PT,10.1,,2018
A,PC_GDP,S13,D5REC,PT,9.7,,2019
A,PC_GDP,S13,D5REC,PT,10.0,,2020
A,PC_GDP,S13,D5REC,PT,9.6,,2021
A,PC_GDP,S13,D5REC,PT,10.5,,2022
A,PC_GDP,S13,D5REC,PT,10.6,,2023
A,PC_GDP,S13,D5REC,PT,10.2,,2024
A,PC_GDP,S13,D61REC,DE,16.7,,2018
A,PC_GDP,S13,D61REC,DE,16.9,,2019
A,PC_GDP,S13,D61REC,DE,17.6,,2020
A,PC_GDP,S13,D61REC,DE,17.2,,2021
A,PC_GDP,S13,D61REC,DE,16.7,,2022
A,PC_GDP,S13,D61REC,DE,16.8,,2023
A,PC_GDP,S13,D61REC,DE,17.5,,2024
A,PC_GDP,S13,D61REC,ES,12.3,,2018
A,PC_GDP,S13,D61REC,ES,12.8,,2019
A,PC_GDP,S13,D61REC,ES,14.4,,2020
A,PC_GDP,S13,D61REC,ES,13.9,,2021
A,PC_GDP,S13,D61REC,ES,13.1,,2022
A,PC_GDP,S13,D61REC,ES,13.2,,2023
A,PC_GDP,S13,D61REC,ES,13.2,,2024
A,PC_GDP,S13,D61REC,EU27_2020,14.2,,2018
A,PC_GDP,S13,D61REC,EU27_2020,14.1,,2019
A,PC_GDP,S13,D61REC,EU27_2020,14.5,,2020
A,PC_GDP,S13,D61REC,EU27_2020,14.1,,2021
A,PC_GDP,S13,D61REC,EU27_2020,13.7,,2022
A,PC_GDP,S13,D61REC,EU27_2020,13.7,,2023
A,PC_GDP,S13,D61REC,EU27_2020,14.0,,2024
A,PC_GDP,S13,D61REC,FR,18.0,,2018
A,PC_GDP,S13,D61REC,FR,16.7,,2019
A,PC_GDP,S13,D61REC,FR,16.9,,2020
