geo,anyo,valor,estado
AT,2018,105.41,
AT,2019,106.98,
AT,2020,108.47,
AT,2021,111.46,
AT,2022,121.07,
AT,2023,130.4,
AT,2024,134.21,
AT,2025,139.01,
BE,2018,106.44,
BE,2019,107.77,
BE,2020,108.23,
BE,2021,111.71,
BE,2022,123.26,
BE,2023,126.07,
BE,2024,131.52,
BE,2025,135.49,
DE,2018,104.0,
DE,2019,105.5,
DE,2020,105.8,
DE,2021,109.2,
DE,2022,118.7,
DE,2023,125.9,
DE,2024,129.0,
DE,2025,131.9,
EL,2018,101.94,
EL,2019,102.46,
EL,2020,101.17,
EL,2021,101.75,
EL,2022,111.21,
EL,2023,115.84,
EL,2024,119.31,
EL,2025,122.75,
ES,2018,103.46,
ES,2019,104.26,
ES,2020,103.91,
ES,2021,107.04,
ES,2022,115.95,
ES,2023,119.89,
ES,2024,123.33,
ES,2025,126.65,
EU27_2020,2018,103.57,
EU27_2020,2019,105.04,
EU27_2020,2020,105.76,
EU27_2020,2021,108.82,
EU27_2020,2022,118.82,
EU27_2020,2023,126.38,
EU27_2020,2024,129.67,
EU27_2020,2025,132.86,
FR,2018,103.6,
FR,2019,104.95,
FR,2020,105.5,
FR,2021,107.68,
FR,2022,114.04,
FR,2023,120.5,
FR,2024,123.29,
FR,2025,124.43,
IE,2018,100.8,
IE,2019,101.7,
IE,2020,101.2,
IE,2021,103.6,
IE,2022,112.0,
IE,2023,117.8,
IE,2024,119.4,
IE,2025,121.9,
IT,2018,102.5,
IT,2019,103.2,
IT,2020,103.0,
IT,2021,105.0,
IT,2022,114.2,
IT,2023,120.9,
IT,2024,122.3,
IT,2025,124.3,
NL,2018,103.02,
NL,2019,105.78,
NL,2020,106.96,
NL,2021,109.98,
NL,2022,122.78,
NL,2023,127.81,
NL,2024,131.92,
NL,2025,135.86,
PL,2018,102.6,
PL,2019,104.8,
PL,2020,108.6,
PL,2021,114.3,
PL,2022,129.4,
PL,2023,143.5,
PL,2024,148.7,
PL,2025,153.7,
PT,2018,103.4,
PT,2019,103.71,
PT,2020,103.58,
PT,2021,104.55,
PT,2022,113.03,
PT,2023,118.98,
PT,2024,122.15,
PT,2025,124.83,
SE,2018,105.12,
SE,2019,106.93,
SE,2020,107.63,
SE,2021,110.49,
SE,2022,119.39,
SE,2023,126.44,
SE,2024,128.98,
SE,2025,132.35,
