geo,anyo,valor,estado
AT,2018,37550,
AT,2019,38040,
AT,2020,35480,
AT,2021,37080,
AT,2022,38620,
AT,2023,37990,
AT,2024,37550,
BE,2018,35190,
BE,2019,35850,
BE,2020,33990,
BE,2021,35960,
BE,2022,37110,
BE,2023,37370,
BE,2024,37560,p
DE,2018,36780,
DE,2019,37120,
DE,2020,35620,
DE,2021,37070,
DE,2022,37490,p
DE,2023,36830,p
DE,2024,36550,p
EL,2018,17510,p
EL,2019,17930,p
EL,2020,16320,p
EL,2021,17820,p
EL,2022,18920,p
EL,2023,19380,p
EL,2024,19810,p
ES,2018,25130,
ES,2019,25420,
ES,2020,22510,
ES,2021,24020,
ES,2022,25310,
ES,2023,25630,p
ES,2024,26240,p
EU27_2020,2018,27920,
EU27_2020,2019,28390,
EU27_2020,2020,26840,b
EU27_2020,2021,28570,
EU27_2020,2022,29400,
EU27_2020,2023,29380,
EU27_2020,2024,29650,
FR,2018,32850,
FR,2019,33390,
FR,2020,30760,
FR,2021,32760,
FR,2022,33490,
FR,2023,33900,
FR,2024,34300,p
IE,2018,57850,
IE,2019,59790,
IE,2020,63110,
IE,2021,72730,
IE,2022,77030,
IE,2023,73130,
IE,2024,74530,
IT,2018,27080,
IT,2019,27260,
IT,2020,24960,
IT,2021,27330,
IT,2022,28710,
IT,2023,28990,
IT,2024,29230,
NL,2018,42000,
NL,2019,42680,
NL,2020,40800,
NL,2021,43140,
NL,2022,44870,
NL,2023,44160,
NL,2024,44340,p
PL,2018,12780,
PL,2019,13370,
PL,2020,13370,b
PL,2021,14370,
PL,2022,14800,b
PL,2023,14900,
PL,2024,15420,
PT,2018,18040,
PT,2019,18500,
PT,2020,16940,
PT,2021,17840,
PT,2022,18970,
PT,2023,19360,
PT,2024,19570,p
SE,2018,43000,
SE,2019,43650,
SE,2020,42520,
SE,2021,44480,
SE,2022,44560,
SE,2023,44170,
SE,2024,44910,
