geo,anyo,valor,estado
AT,2018,31640.93,
AT,2019,32325.12,
AT,2020,33032.37,
AT,2021,33712.2,
AT,2022,36075.61,
AT,2023,38375.91,
AT,2024,35823.61,b
BE,2018,29240.96,
BE,2019,30188.71,
BE,2020,30539.81,
BE,2021,31063.95,
BE,2022,32889.21,
BE,2023,35438.98,
BE,2024,33481.07,b
DE,2018,30419.87,
DE,2019,31486.26,
DE,2020,31292.95,
DE,2021,32850.2,
DE,2022,35596.73,
DE,2023,37908.41,
DE,2024,30145.27,b
EL,2018,14850.01,
EL,2019,15112.49,
EL,2020,14247.43,
EL,2021,15407.96,
EL,2022,16819.51,
EL,2023,18022.41,
EL,2024,13746.26,b
ES,2018,21198.42,
ES,2019,21481.84,
ES,2020,20632.83,
ES,2021,21668.52,
ES,2022,22577.6,
ES,2023,23597.08,
ES,2024,24541.18,b
EU27_2020,2018,23166.71,
EU27_2020,2019,23849.6,
EU27_2020,2020,24047.22,
EU27_2020,2021,25104.11,
EU27_2020,2022,26653.72,
EU27_2020,2023,28323.92,
EU27_2020,2024,25979.0,b
FR,2018,27662.94,
FR,2019,28153.78,
FR,2020,27472.33,
FR,2021,28649.83,
FR,2022,30241.44,
FR,2023,31573.51,
FR,2024,30124.11,b
IE,2018,35126.52,
IE,2019,38252.2,
IE,2020,38842.71,
IE,2021,39930.32,
IE,2022,41062.91,
IE,2023,43896.82,
IE,2024,42366.19,b
IT,2018,21294.82,
IT,2019,21500.18,
IT,2020,22507.69,
IT,2021,23511.64,
IT,2022,23839.29,
IT,2023,24592.51,
IT,2024,23959.46,b
NL,2018,35838.18,
NL,2019,37402.24,
NL,2020,39142.87,
NL,2021,40660.61,
NL,2022,42311.5,
NL,2023,45156.38,
NL,2024,34223.41,b
PL,2018,9618.59,
PL,2019,10225.78,
PL,2020,11376.35,
PL,2021,11134.57,
PL,2022,12503.72,
PL,2023,14487.18,
PL,2024,15043.66,b
PT,2018,12401.75,
PT,2019,12823.4,
PT,2020,12934.79,
PT,2021,13502.54,
PT,2022,14213.56,
PT,2023,15301.09,
PT,2024,18834.92,b
SE,2018,32688.36,
SE,2019,32427.59,
SE,2020,33366.68,
SE,2021,35485.73,
SE,2022,35188.72,
SE,2023,34207.06,
SE,2024,33212.53,b
