periodo,anyo,mes,mes_nombre,prestaciones,beneficiarios,importe_bruto_mes_eur,cuantia_media_hogar_eur,importe_bruto_acumulado_eur,fichero_origen,url_origen
2024-01,2024,1,enero,537390,1601208,315231562.5800001,507.2644420439533,9304308569.290003,imv_nomina_202401.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/729f3ff7-758c-4b1b-b420-8a0a7e3fdef5/202401_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-02,2024,2,febrero,557405,1669361,346405008.66999996,500.040355540406,9650713577.960001,imv_nomina_202402.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/f10113b1-38d6-4954-854b-664ff906c758/202402_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-03,2024,3,marzo,575317,1725571,349861828.03999996,496.01314285863265,10000626487.600002,imv_nomina_202403.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/1709d387-17fd-4bc7-9daa-f2e77fc067b6/202403_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-04,2024,4,abril,589948,1771480,347897527.5500001,492.3951049584032,10348472933.55,imv_nomina_202404.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/36366bc7-ffde-432a-951b-338d5a4a17e7/202404_IMV-N%C3%B3mina.xlsx?MOD=AJPERES
2024-05,2024,5,mayo,605696,1820944,358342458.71000004,488.73192791433337,10706815392.259998,imv_nomina_202405.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/b2e65676-f751-484f-8032-9e950147fb8b/202405_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-06,2024,6,junio,625382,1883124,368737803.66099995,484.3009185425868,11075553195.920998,imv_nomina_202406.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/3122bcd1-e3e2-463a-ad62-d764ce6ede1c/202406_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-08,2024,8,agosto,649443,1957700,346800054.98,479.20291183367897,11776866046.831001,imv_nomina_202408.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/58b95a2b-eab6-4a23-937b-d3002eff0fab/202408_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-09,2024,9,septiembre,661640,1993559,353608836.48,476.65249968260684,12130474883.311,imv_nomina_202409.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/386b7d49-5982-44ee-9a41-5d9e2ef29fa0/202409_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-10,2024,10,octubre,648469,1968152,511167185.43,473.41141473223837,12641642068.741,imv_nomina_202410.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/58d0dbc2-37d7-42bc-8d5f-60046c912b00/202410_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2024-11,2024,11,noviembre,665508,2021729,363444213.81,470.07245353925134,13005086282.551003,imv_nomina_202411.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/54053332-d687-410b-9f83-8dd15de15ac4/202411_IMV+-+N%C3%B3mina+NUEVO.xlsx?MOD=AJPERES
2024-12,2024,12,diciembre,673729,2047755,352061607.67600006,470.69573657954464,13357147890.227001,imv_nomina_202412.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/f156ae8b-de7f-4548-98c2-622cd5071704/202412_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2025-01,2025,1,enero,671849,2050542,384604402.23999995,516.470136459234,13741752292.467001,imv_nomina_202501.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/ceccde23-3ced-4851-a36e-7066306c1a89/202501_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2025-02,2025,2,febrero,688007,2097290,391065543.4099999,511.1944904775676,14132817835.876999,imv_nomina_202502.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/dc660399-9d5b-412e-a464-d34373a5b094/202502_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2025-03,2025,3,marzo,703479,2145006,402015781.62999994,508.41320292432334,14534833617.507,imv_nomina_202503.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/3e18cd22-dc3f-4883-a31d-13de2c964b8c/202503_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2025-04,2025,4,abril,719543,2194586,404038171.05999994,505.39528800919476,14938871788.567,imv_nomina_202504.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/a4e31dbb-2cb5-43bc-819b-1149cb657ceb/202504_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2025-05,2025,5,mayo,716091,2193666,409712997.2799999,527.5547305300582,15348584785.847,imv_nomina_202505.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/5c3949a1-a99d-4cab-9702-d8a2cb20a313/202505_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
2025-06,2025,6,junio,736867,2253401,429795744.95,522.2355567015483,15778380530.796999,imv_nomina_202506.xlsx,https://www.seg-social.es/wps/wcm/connect/wss/57089603-da9e-41ce-b097-7f47f4d89660/202506_IMV+-+N%C3%B3mina.xlsx?MOD=AJPERES
