fichero,indicador,organismo,dataset,url_exacta,cobertura,geografia,fecha_descarga,notas
eurostat_hicp.csv,"IPC armonizado, índice medio anual (base 2015 = 100)",Eurostat (Oficina Estadística de la Unión Europea),prc_hicp_aind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_aind?format=JSON&lang=EN&unit=INX_A_AVG&coicop=CP00&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&geo=NL&geo=PL&geo=EL&geo=IE&geo=BE&geo=AT&geo=SE&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024&time=2025,2018-2025,EU27_2020 ES DE FR IT PT NL PL EL IE BE AT SE,2026-08-20,"Índice armonizado europeo. No es idéntico al IPC nacional del INE, pero es el único comparable entre países. Se usa solo para deflactar y comparar, nunca mezclado con el IPC del INE."
eurostat_pib_pc_real.csv,"PIB per cápita, volumen encadenado (euros de 2010) por habitante",Eurostat (Oficina Estadística de la Unión Europea),nama_10_pc,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_pc?format=JSON&lang=EN&unit=CLV10_EUR_HAB&na_item=B1GQ&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&geo=NL&geo=PL&geo=EL&geo=IE&geo=BE&geo=AT&geo=SE&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT NL PL EL IE BE AT SE,2026-08-20,"Medida real. Último año disponible 2024, con estimaciones provisionales en algunos países."
eurostat_salario_neto.csv,Ganancia neta anual de una persona soltera sin hijos con el 100 % del salario medio (euros),Eurostat (Oficina Estadística de la Unión Europea),earn_nt_net,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/earn_nt_net?format=JSON&lang=EN&currency=EUR&estruct=NET&ecase=P1_NCH_AW100&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&geo=NL&geo=PL&geo=EL&geo=IE&geo=BE&geo=AT&geo=SE&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT NL PL EL IE BE AT SE,2026-08-20,"Definición armonizada de Eurostat. Es salario NETO, después de impuestos y cotizaciones, de un caso-tipo; no es el salario medio efectivo de cada país. Eurostat marca ruptura de serie ('b') en 2024 para varios países, España incluida."
eurostat_aic_pps.csv,Consumo individual efectivo per cápita en paridad de poder adquisitivo (EU27 = 100),Eurostat (Oficina Estadística de la Unión Europea),prc_ppp_ind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_ppp_ind?format=JSON&lang=EN&na_item=VI_PPS_EU27_2020_HAB&ppp_cat=A01&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&geo=NL&geo=PL&geo=EL&geo=IE&geo=BE&geo=AT&geo=SE&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT NL PL EL IE BE AT SE,2026-08-20,"Indicador que la propia Eurostat recomienda para comparar nivel de vida material entre países, porque corrige diferencias de precios. Es un índice relativo: si España baja, puede ser porque empeora o porque los demás mejoran más deprisa."
eurostat_gov_main_meur.csv,"Ingresos, gastos y saldo de las administraciones públicas (millones de euros)","Eurostat (cuentas de las AAPP, SEC 2010)",gov_10a_main,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?format=JSON&lang=EN&sector=S13&unit=MIO_EUR&na_item=TR&na_item=TE&na_item=B9&na_item=D2REC&na_item=D5REC&na_item=D61REC&na_item=D62PAY&na_item=D3PAY&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT,2026-08-20,"SEC 2010. TR = ingresos totales, TE = gastos totales, B9 = capacidad/necesidad de financiación, D2REC = impuestos sobre producción e importaciones, D5REC = impuestos corrientes sobre renta y patrimonio, D61REC = cotizaciones sociales, D62PAY = prestaciones sociales distintas de transferencias en especie, D3PAY = subvenciones."
eurostat_gov_main_pcgdp.csv,"Ingresos, gastos y saldo de las administraciones públicas (% del PIB)","Eurostat (cuentas de las AAPP, SEC 2010)",gov_10a_main,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_main?format=JSON&lang=EN&sector=S13&unit=PC_GDP&na_item=TR&na_item=TE&na_item=B9&na_item=D2REC&na_item=D5REC&na_item=D61REC&na_item=D62PAY&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT,2026-08-20,"Mismo concepto que el anterior, expresado sobre el PIB. Es la medida habitual de presión fiscal y de peso del gasto público."
eurostat_gov_cofog_meur.csv,Gasto público por función COFOG (millones de euros),"Eurostat (cuentas de las AAPP, SEC 2010)",gov_10a_exp,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?format=JSON&lang=EN&sector=S13&unit=MIO_EUR&na_item=TE&cofog99=GF01&cofog99=GF02&cofog99=GF03&cofog99=GF04&cofog99=GF05&cofog99=GF06&cofog99=GF07&cofog99=GF08&cofog99=GF09&cofog99=GF10&cofog99=TOTAL&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT,2026-08-20,"Clasificación funcional del gasto público. 'Protección social' incluye pensiones, desempleo, familia, exclusión social y vivienda social: no es solo 'ayudas'."
eurostat_gov_cofog_pcgdp.csv,Gasto público por función COFOG (% del PIB),"Eurostat (cuentas de las AAPP, SEC 2010)",gov_10a_exp,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?format=JSON&lang=EN&sector=S13&unit=PC_GDP&na_item=TE&cofog99=GF01&cofog99=GF02&cofog99=GF03&cofog99=GF04&cofog99=GF05&cofog99=GF06&cofog99=GF07&cofog99=GF08&cofog99=GF09&cofog99=GF10&cofog99=TOTAL&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT,2026-08-20,Permite ver si una función gana o pierde peso relativo con independencia de la inflación.
eurostat_gov_cofog_social_meur.csv,Gasto en protección social por subfunción COFOG (millones de euros),"Eurostat (cuentas de las AAPP, SEC 2010)",gov_10a_exp,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10a_exp?format=JSON&lang=EN&sector=S13&unit=MIO_EUR&na_item=TE&cofog99=GF1001&cofog99=GF1002&cofog99=GF1003&cofog99=GF1004&cofog99=GF1005&cofog99=GF1006&cofog99=GF1007&cofog99=GF1008&cofog99=GF1009&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT,2026-08-20,"Desglose de la función 10. GF1002 son las pensiones de jubilación y GF1007 la exclusión social, que es donde se registra el Ingreso Mínimo Vital junto a otras prestaciones: esa cifra NO es el IMV en solitario."
eurostat_gov_deuda.csv,Deuda pública bruta consolidada (% del PIB y millones de euros),"Eurostat (cuentas de las AAPP, SEC 2010)",gov_10dd_edpt1,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/gov_10dd_edpt1?format=JSON&lang=EN&sector=S13&na_item=GD&unit=PC_GDP&unit=MIO_EUR&geo=EU27_2020&geo=ES&geo=DE&geo=FR&geo=IT&geo=PT&time=2018&time=2019&time=2020&time=2021&time=2022&time=2023&time=2024,2018-2024,EU27_2020 ES DE FR IT PT,2026-08-20,Deuda según el Protocolo de Déficit Excesivo.
