fecha_corte,anyo,mes,corte,ambito,pacientes_espera,tasa_por_1000_hab,tiempo_medio_espera_dias,pct_mas_6_meses,pct_mas_60_dias,contrastado_con_serie,fichero_origen,url_origen,aviso
2018-06-30,2018,6,junio 2018,consultas,,43.06,57.0,,37.4,no,LLEE_SNS_IndicadoresResumen_Junio2018.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LLEE_SNS_IndicadoresResumen_Junio2018.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2018-06-30,2018,6,junio 2018,quirurgica,584018.0,12.95,93.0,12.2,,no,LLEE_SNS_IndicadoresResumen_Junio2018.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LLEE_SNS_IndicadoresResumen_Junio2018.pdf,
2018-12-31,2018,12,diciembre 2018,consultas,,62.48,96.0,,43.8,no,LLEE_SNS_IndicadoresResumen_Diciembre2018.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LLEE_SNS_IndicadoresResumen_Diciembre2018.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2018-12-31,2018,12,diciembre 2018,quirurgica,668288.0,14.78,129.0,20.0,,no,LLEE_SNS_IndicadoresResumen_Diciembre2018.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LLEE_SNS_IndicadoresResumen_Diciembre2018.pdf,
2019-06-30,2019,6,junio 2019,consultas,,61.84,81.0,,42.6,no,LLEE_SNS_IndicadoresResumen_Junio2019.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LLEE_SNS_IndicadoresResumen_Junio2019.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2019-06-30,2019,6,junio 2019,quirurgica,671494.0,14.85,115.0,15.8,,no,LLEE_SNS_IndicadoresResumen_Junio2019.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LLEE_SNS_IndicadoresResumen_Junio2019.pdf,
2019-12-31,2019,12,diciembre 2019,consultas,,63.72,88.0,,49.1,no,LISTAS_PUBLICACION_dic19.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic19.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2019-12-31,2019,12,diciembre 2019,quirurgica,,,,,,no,LISTAS_PUBLICACION_dic19.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_dic19.pdf,ninguna tabla de este informe da una fila TOTAL legible: el PDF parte la celda al extraer el texto
2020-06-30,2020,6,junio 2020,consultas,,46.45,115.0,,52.7,no,LISTAS_PUBLICACION_jun2020.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2020.pdf,"SISLE-SNS no publica el número absoluto de pacientes en consultas externas, solo la tasa por 1.000 habitantes"
2020-06-30,2020,6,junio 2020,quirurgica,691508.0,15.22,170.0,33.8,,no,LISTAS_PUBLICACION_jun2020.pdf,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/docs/LISTAS_PUBLICACION_jun2020.pdf,
