,2018,2019,2020,2021,2022,2023,2024,acumulado_2018_2024
Alemania,8947.0,8929.0,7602.0,18800.0,15998.0,15983.0,15455.0,91714.0
América del Norte,16338.0,18519.0,11817.0,22627.0,24423.0,26904.0,31108.0,151736.0
Argelia,6705.0,7706.0,4560.0,10095.0,12979.0,15789.0,23598.0,81432.0
Argentina,19422.0,31267.0,20356.0,43543.0,59904.0,61311.0,57097.0,292900.0
Asia,46180.0,51156.0,27119.0,62041.0,63148.0,75440.0,91407.0,416491.0
Bangladesh,2609.0,2634.0,1286.0,2175.0,2645.0,3691.0,6108.0,21148.0
Bolivia,7343.0,7561.0,3976.0,9583.0,10765.0,11334.0,10041.0,60603.0
Brasil,18348.0,19545.0,10570.0,15833.0,23856.0,23804.0,24486.0,136442.0
Bulgaria,5329.0,5523.0,3314.0,8443.0,8253.0,8166.0,6383.0,45411.0
Bélgica,3904.0,4002.0,3217.0,6400.0,5821.0,5753.0,5896.0,34993.0
Canadá,950.0,1027.0,767.0,1335.0,1453.0,1609.0,1744.0,8885.0
Centro América y Caribe,69490.0,87821.0,50111.0,67894.0,106967.0,107158.0,107693.0,597134.0
Chile,4768.0,5516.0,3507.0,7178.0,9573.0,10774.0,10732.0,52048.0
China,11867.0,12097.0,5303.0,17778.0,14029.0,20028.0,23584.0,104686.0
Colombia,56877.0,80485.0,53254.0,69263.0,176957.0,175826.0,173420.0,786082.0
Cuba,15270.0,18792.0,8486.0,19250.0,28917.0,32733.0,38179.0,161627.0
Dinamarca,873.0,863.0,565.0,1401.0,1164.0,1171.0,1142.0,7179.0
Ecuador,14794.0,16292.0,9151.0,18813.0,24331.0,29693.0,33101.0,146175.0
España,35031.0,36227.0,26426.0,84920.0,81609.0,88476.0,73277.0,425966.0
Estados Unidos de América,8566.0,9475.0,5975.0,11604.0,11766.0,13123.0,15492.0,76001.0
Europa menos UE27_2020,,,46305.0,75989.0,152978.0,96005.0,86588.0,457865.0
Europa menos UE28,28412.0,30154.0,,,,,,58566.0
Filipinas,2946.0,3485.0,1958.0,3844.0,4381.0,5267.0,5883.0,27764.0
Finlandia,1031.0,927.0,652.0,1502.0,1440.0,1368.0,1168.0,8088.0
Francia,11384.0,11513.0,9905.0,17138.0,15630.0,15449.0,15892.0,96911.0
Gambia,1731.0,2150.0,1620.0,3900.0,3843.0,3677.0,5585.0,22506.0
Ghana,1901.0,2561.0,1420.0,2987.0,2962.0,2725.0,3036.0,17592.0
Guinea,1185.0,1523.0,803.0,1786.0,1750.0,1831.0,1993.0,10871.0
Guinea Ecuatorial,1745.0,1546.0,779.0,2228.0,2792.0,2917.0,2895.0,14902.0
Honduras,23720.0,29363.0,18852.0,20230.0,34840.0,32882.0,29867.0,189754.0
India,7172.0,7373.0,3172.0,6094.0,8390.0,10418.0,13749.0,56368.0
Irlanda,1789.0,1888.0,1560.0,3881.0,2950.0,3138.0,3379.0,18585.0
Italia,18125.0,16922.0,11052.0,19630.0,23048.0,20899.0,19735.0,129411.0
Lituania,1256.0,1161.0,721.0,1592.0,2018.0,1941.0,1821.0,10510.0
Mali,1855.0,2711.0,2243.0,6338.0,4639.0,3740.0,8903.0,30429.0
Marruecos,62609.0,74827.0,45991.0,101760.0,116344.0,126969.0,136413.0,664913.0
Mauritania,764.0,912.0,600.0,1949.0,1653.0,1717.0,2830.0,10425.0
Moldavia,1835.0,1929.0,1211.0,2229.0,3110.0,2488.0,2010.0,14812.0
