Países y Continentes,2018,2019,2020,2021,2022
Alemania,193068.253594,192090.497698,192147.999493,192376.931166,194515.197186
América del Norte,113248.545116,121337.123435,131395.009704,136311.216502,143825.251453
Argelia,56398.689601,58981.415967,63077.54282,63610.952974,63922.991923
Argentina,261030.006111,272753.267689,295999.831785,309522.245036,333299.085185
Asia,397462.311851,424624.958248,453708.633546,463591.750787,467316.597554
Bangladesh,12084.836977,13970.836977,15616.836977,16168.836977,15617.836977
Bolivia,150246.525732,153105.565732,156726.425732,157722.421695,158521.457723
Brasil,115466.109302,127553.688077,140667.008077,145693.246789,145335.954927
Bulgaria,116535.776241,114627.632672,113972.372709,112136.26914,108429.962049
Bélgica,47754.248165,49681.008824,51741.94176,53203.472702,55589.555065
Canadá,7955.660569,8408.700569,8909.668745,9273.572547,9625.450058
Centro América y Caribe,459112.190792,514760.167502,587845.852919,624454.837181,645882.449782
Chile,57038.054661,59159.292155,61912.789623,63389.354932,65660.006157
China,165940.776664,171456.321371,176562.326597,176086.566597,171119.389176
Colombia,386141.924269,431144.044269,499431.659589,541620.844527,564936.738936
Cuba,145016.315823,155434.80567,169866.122225,174238.766487,184210.108168
Dinamarca,11113.964216,11161.306579,11287.776056,11199.901223,11254.618315
Ecuador,408652.140086,411901.140086,418914.243668,420803.019907,423175.169565
España,40459614.470431,40398099.438366,40335788.732764,40183817.058692,40067582.372198
Estados Unidos de América,50416.542632,54673.645963,59495.492452,61620.175448,64826.214314
Europa menos UE27_2020,,,,683076.208262,691580.740228
Europa menos UE28,329454.09002,344722.680257,360794.497271,,
Filipinas,47178.898803,48996.338803,51052.017121,51996.202279,52607.369007
Finlandia,12547.274803,12637.058239,12672.921675,12556.773244,12608.456421
Francia,207917.513062,211920.489059,216029.178697,219206.975583,223654.545099
Gambia,17821.629212,18656.629212,19886.629212,20659.629212,21725.629212
Ghana,12245.985176,13190.985176,14987.025176,15600.025176,16183.025176
Guinea,9937.74917,10444.74917,11376.74917,11664.74917,11629.78917
Guinea Ecuatorial,21270.805497,21566.805497,21911.561182,21614.402444,21426.402444
Honduras,73400.505572,95172.365572,121663.365572,137849.365572,142880.365572
India,39869.295022,45103.118341,50221.86092,51656.94092,51606.533133
Irlanda,14977.552788,15413.16675,16295.984485,16774.303885,18455.171824
Italia,135275.140779,147023.804348,157523.004221,161777.939014,167002.674685
Lituania,15531.693779,15787.693779,16180.693779,16220.733779,16157.733779
Mali,17133.749829,17933.749829,19589.749829,20994.749829,23385.749829
Marruecos,713762.989357,752159.715512,804619.194831,828026.661582,852464.414286
Mauritania,8339.095353,8500.095353,8943.135353,9123.135353,9804.135353
Moldavia,19612.717228,20809.717228,22079.85066,22729.85066,23112.85066
México,54876.341915,58254.776903,62989.848507,65417.468507,69373.587081
Nicaragua,30344.864798,40956.832308,57168.832308,65302.872308,65888.872308
Nigeria,27991.730706,27775.730706,27931.730706,27856.730706,27208.730706
Noruega,14423.109799,14382.706131,13806.096517,13392.216633,13621.058783
Oceanía,9170.427784,9732.427784,10349.467784,10700.740366,10817.740366
Pakistán,56013.55565,61092.55565,69128.55565,73689.59565,77777.71565
Paraguay,68505.258092,74598.258092,83538.258092,87759.154149,87603.854149
Países Bajos,47955.477039,49567.884226,51093.895016,52200.070373,54406.706922
Perú,200529.900742,216801.893493,241568.736568,255543.963013,265446.629531
Polonia,60466.156079,60756.765375,60954.192908,61155.130115,61048.366179
Portugal,104298.816619,103447.567772,103797.55087,103367.802984,102099.719987
Reino Unido,288400.430559,290244.04023,303837.422433,316919.473716,319671.102439
República Dominicana,170500.411148,176940.070501,183772.810501,186565.510501,189770.788909
Rumanía,595662.889823,587141.834487,578938.534415,568912.649448,542439.938428
Rusia,87981.36619,92021.10619,97016.18619,98274.04619,100637.50878
Senegal,52578.699488,57006.699488,62758.699488,65811.699488,69368.699488
Sudamérica,1968447.622208,2137201.589722,2365092.791067,2481286.635084,2567304.07242
Suecia,19611.937451,20642.486072,21881.498627,22380.307162,23509.202391
Suiza,62653.683656,63110.117561,63646.772847,63918.713858,64407.592361
Total,46658446.57237,46937059.877999,47332613.88819,47398694.945392,47432892.943294
UE27_2020 sin España,,,,1663834.106497,1653425.171353
UE28 sin España,1925421.24019,1938650.012469,1967381.419836,,
Ucrania,96783.794271,101830.834271,106877.596033,108304.296033,108534.376033
Uruguay,75479.489629,77950.429629,81876.643131,83515.868674,84293.324686
Venezuela,244973.047482,311832.844398,384057.0287,415323.35026,438627.685459
África,996515.673978,1047931.480216,1120257.483299,1151622.392021,1185158.54794
