archivo,organismo,descripcion,url_exacta,cobertura,unidad,granularidad,cautelas
mir_hechos_conocidos_01001.csv,Ministerio del Interior,Hechos conocidos por tipología penal y comunidad autónoma,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos1/l0/01001.csv_bdsc,2018-2024,Hechos conocidos,Comunidad autónoma x tipología x año,"Años naturales completos; cambios de cobertura policial y clasificación descritos en notas del Portal; 2025 no disponible en la serie anual descargada"
mir_hechos_conocidos_01002.csv,Ministerio del Interior,Hechos conocidos por tipología penal y provincia,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos1/l0/01002.csv_bdsc,2018-2024,Hechos conocidos,Provincia x tipología x año,"Incluye Total Nacional; años completos; no equiparar hechos a personas; cambios de cobertura policial; 2025 no disponible"
mir_hechos_esclarecidos_02001.csv,Ministerio del Interior,Hechos esclarecidos por tipología penal y comunidad autónoma,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos2/l0/02001.csv_bdsc,2018-2024,Hechos esclarecidos,Comunidad autónoma x tipología x año,"No son condenas ni personas; un hecho puede tener distinta relación con detenidos; cambios de cobertura policial; años completos"
mir_hechos_esclarecidos_02002.csv,Ministerio del Interior,Hechos esclarecidos por tipología penal y provincia,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos2/l0/02002.csv_bdsc,2018-2024,Hechos esclarecidos,Provincia x tipología x año,"Incluye Total Nacional; no contiene nacionalidad; años completos; 2025 no disponible"
mir_detenciones_investigados_03001.csv,Ministerio del Interior,Detenciones e investigados por tipología y comunidad autónoma,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03001.csv_bdsc,2018-2024,Detenciones/investigados,Comunidad autónoma x tipología x año,"Actuaciones/personas investigadas no equivalen a delitos cometidos ni condenas; años completos"
mir_detenciones_investigados_03002.csv,Ministerio del Interior,Detenciones e investigados por tipología y provincia,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03002.csv_bdsc,2018-2024,Detenciones/investigados,Provincia x tipología x año,"Incluye Total Nacional; no son condenas; años completos"
mir_detenciones_investigados_03003.csv,Ministerio del Interior,Detenciones e investigados por tipología sexo nacionalidad y comunidad,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03003.csv_bdsc,2018-2024,Detenciones/investigados,Comunidad x tipología x sexo x nacionalidad x año,"Nacionalidad NO equivale a país de nacimiento/origen; españoles incluye naturalizados; no atribuir causalidad migratoria"
mir_detenciones_investigados_03004.csv,Ministerio del Interior,Detenciones e investigados por tipología sexo nacionalidad y provincia,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03004.csv_bdsc,2018-2024,Detenciones/investigados,Provincia x tipología x sexo x nacionalidad x año,"Nacionalidad NO equivale a origen/nacimiento; incluye Total Nacional; no son condenas"
mir_detenciones_investigados_03005.csv,Ministerio del Interior,Detenciones e investigados por tipología sexo y comunidad,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03005.csv_bdsc,2018-2024,Detenciones/investigados,Comunidad x tipología x sexo x año,"Años completos; no son hechos ni condenas"
mir_detenciones_investigados_03006.csv,Ministerio del Interior,Detenciones e investigados por tipología sexo y provincia,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03006.csv_bdsc,2018-2024,Detenciones/investigados,Provincia x tipología x sexo x año,"Incluye Total Nacional; años completos"
mir_detenciones_investigados_03007.csv,Ministerio del Interior,Detenciones e investigados por nacionalidad sexo y comunidad,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03007.csv_bdsc,2018-2024,Detenciones/investigados,Comunidad x nacionalidad x sexo x año,"Sin tipología penal; nacionalidad NO equivale a país de nacimiento/origen; usar denominadores compatibles por nacionalidad"
mir_detenciones_investigados_03008.csv,Ministerio del Interior,Detenciones e investigados por nacionalidad sexo y provincia,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03008.csv_bdsc,2018-2024,Detenciones/investigados,Provincia x nacionalidad x sexo x año,"Sin tipología penal; nacionalidad NO equivale a origen; incluye Total Nacional"
mir_detenciones_investigados_03009.csv,Ministerio del Interior,Detenciones e investigados por tipología edad sexo y comunidad,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03009.csv_bdsc,2018-2024,Detenciones/investigados,Comunidad x tipología x edad x sexo x año,"Sin nacionalidad; años completos; la estructura por edad importa para tasas"
mir_detenciones_investigados_03010.csv,Ministerio del Interior,Detenciones e investigados por tipología edad sexo y provincia,https://estadisticasdecriminalidad.ses.mir.es/sec/jaxiPx/files/_px/es/csv_bdsc/Datos3/l0/03010.csv_bdsc,2018-2024,Detenciones/investigados,Provincia x tipología x edad x sexo x año,"Sin nacionalidad; incluye Total Nacional; años completos"
ine_25645_condenados_sexo_edad_nacionalidad.json,INE,Personas condenadas adultas por sexo edad y nacionalidad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/25645?tip=AM,2018-2025,Personas,Nacional x sexo x edad x nacionalidad x año,"Sentencia firme registrada; nacionalidad NO equivale a país de nacimiento/origen; el año de condena no necesariamente es el de comisión"
ine_25698_condenados_sexo_nacionalidad_num_delitos.json,INE,Condenados por sexo nacionalidad y número de delitos,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/25698?tip=AM,2018-2025,Personas,Nacional x sexo x nacionalidad x número delitos x año,"No sumar categorías solapadas/totales; nacionalidad no es origen"
ine_25699_condenados_sexo_edad_nacionalidad_num_delitos.json,INE,Condenados por sexo edad nacionalidad y número de delitos,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/25699?tip=AM,2018-2025,Personas,Nacional x sexo x edad x nacionalidad x número delitos x año,"Sentencias firmes; nacionalidad no es nacimiento; controlar composición por edad y sexo"
ine_26014_delitos_nacionalidad.json,INE,Delitos de personas condenadas según nacionalidad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/26014?tip=AM,2018-2025,Infracciones,Nacional x tipo/nacionalidad x año,"Cuenta delitos asociados a condenas no personas ni hechos policiales; nacionalidad no es origen"
ine_28752_delitos_sexuales_nacionalidad.json,INE,Delitos sexuales de condenados según nacionalidad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28752?tip=AM,2018-2025,Infracciones,Nacional x delito sexual x nacionalidad x año,"Sentencia firme; reformas legales/clasificatorias pueden afectar comparabilidad; nacionalidad no es origen"
ine_28857_condenados_delitos_sexuales_sexo_edad_nacionalidad.json,INE,Condenados adultos por delitos sexuales sexo edad y nacionalidad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28857?tip=AM,2018-2025,Personas,Nacional x sexo x edad x nacionalidad x año,"Sentencia firme; nacionalidad no es origen; fecha de condena puede diferir de comisión"
ine_76641_delitos_nacionalidad_provincia.json,INE,Delitos de condenados según nacionalidad y provincia,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76641?tip=AM,2018-2025,Infracciones,Provincia x nacionalidad x año,"Provincia/lugar de condena no necesariamente residencia ni lugar del delito; nacionalidad no es origen"
ine_56942_poblacion_nacionalidad_agrupacion.json,INE,Población residente por nacionalidad sexo y edad a 1 de enero,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56942?tip=AM,2018-2025,Personas,Provincia x nacionalidad agrupada x edad x sexo x año,"Denominador por nacionalidad; solo observaciones de 1 de enero para comparación anual; no representa país de nacimiento/origen"
