Comunidades autónomas;Tipología penal;Sexo;Nacionalidad;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2024;3.380
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2023;3.548
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2022;3.561
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2021;3.245
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2020;2.718
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2019;2.823
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Española;2018;2.544
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2024;1.056
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2023;903
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2022;918
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2021;858
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2020;751
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2019;717
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Extranjera;2018;617
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2024;4.436
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2023;4.451
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2022;4.479
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2021;4.103
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2020;3.469
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2019;3.540
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;Total;2018;3.161
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2024;1.055
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2023;1.187
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2022;1.157
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2021;1.154
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2020;924
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2019;880
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Española;2018;851
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2024;190
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2023;185
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2022;176
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2021;136
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2020;124
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2019;122
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Extranjera;2018;103
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2024;1.245
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2023;1.372
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2022;1.333
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2021;1.290
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2020;1.048
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2019;1.002
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;Total;2018;954
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2024;4.435
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2023;4.735
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2022;4.718
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;Española;2021;4.399
