Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2024;39.762
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2023;36.261
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2022;33.036
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2021;27.810
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2020;24.442
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2019;21.710
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Masculino;2018;19.579
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2024;7.891
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2023;6.955
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2022;6.240
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2021;5.025
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2020;4.502
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2019;3.473
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Femenino;2018;2.933
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2024;47.653
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2023;43.216
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2022;39.276
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2021;32.835
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2020;28.944
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2019;25.183
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;Ambos sexos;2018;22.512
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2024;570
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2023;533
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2022;445
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2021;404
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2020;332
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2019;265
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Masculino;2018;242
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2024;41
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2023;35
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2022;37
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2021;35
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2020;49
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2019;22
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Femenino;2018;35
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2024;611
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2023;568
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2022;482
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2021;439
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2020;381
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2019;287
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2018;277
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2024;122
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2023;125
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2022;96
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2021;97
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2020;84
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2019;88
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2018;82
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2024;11
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2023;12
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2022;9
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2021;15
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2020;17
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2019;11
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2018;11
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2024;133
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2023;137
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2022;105
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2021;112
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2020;101
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2019;99
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2018;93
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2024;12.402
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2023;11.103
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2022;10.683
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2021;9.072
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2020;7.534
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2019;6.528
TOTAL NACIONAL;1.2.-Lesiones;Masculino;2018;5.842
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2024;2.732
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2023;2.435
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2022;2.450
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2021;1.889
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2020;1.766
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2019;1.463
TOTAL NACIONAL;1.2.-Lesiones;Femenino;2018;1.330
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2024;15.134
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2023;13.538
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2022;13.133
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2021;10.961
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2020;9.300
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2019;7.991
TOTAL NACIONAL;1.2.-Lesiones;Ambos sexos;2018;7.172
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2024;25.536
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2023;23.533
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2022;21.083
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2021;17.587
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2020;15.998
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2019;14.493
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Masculino;2018;13.120
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2024;4.894
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2023;4.273
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2022;3.604
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2021;2.976
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2020;2.597
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2019;1.923
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Femenino;2018;1.494
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2024;30.430
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2023;27.806
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2022;24.687
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2021;20.563
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2020;18.595
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2019;16.416
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;Ambos sexos;2018;14.614
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2024;1.254
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2023;1.092
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2022;825
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2021;747
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2020;578
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2019;424
TOTAL NACIONAL;1.4.-Otros contra las personas;Masculino;2018;375
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2024;224
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2023;212
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2022;149
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2021;125
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2020;90
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2019;65
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2018;74
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2024;1.478
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2023;1.304
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2022;974
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2021;872
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2020;668
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2019;489
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2018;449
