Provincias;Tipología penal;Sexo;periodo;Total
Total Nacional;1. CONTRA LAS PERSONAS;Masculino;2024;39.762
Total Nacional;1. CONTRA LAS PERSONAS;Masculino;2023;36.261
Total Nacional;1. CONTRA LAS PERSONAS;Masculino;2022;33.036
Total Nacional;1. CONTRA LAS PERSONAS;Masculino;2021;27.810
Total Nacional;1. CONTRA LAS PERSONAS;Masculino;2020;24.442
Total Nacional;1. CONTRA LAS PERSONAS;Masculino;2019;21.710
Total Nacional;1. CONTRA LAS PERSONAS;Masculino;2018;19.579
Total Nacional;1. CONTRA LAS PERSONAS;Femenino;2024;7.891
Total Nacional;1. CONTRA LAS PERSONAS;Femenino;2023;6.955
Total Nacional;1. CONTRA LAS PERSONAS;Femenino;2022;6.240
Total Nacional;1. CONTRA LAS PERSONAS;Femenino;2021;5.025
Total Nacional;1. CONTRA LAS PERSONAS;Femenino;2020;4.502
Total Nacional;1. CONTRA LAS PERSONAS;Femenino;2019;3.473
Total Nacional;1. CONTRA LAS PERSONAS;Femenino;2018;2.933
Total Nacional;1. CONTRA LAS PERSONAS;Ambos sexos;2024;47.653
Total Nacional;1. CONTRA LAS PERSONAS;Ambos sexos;2023;43.216
Total Nacional;1. CONTRA LAS PERSONAS;Ambos sexos;2022;39.276
Total Nacional;1. CONTRA LAS PERSONAS;Ambos sexos;2021;32.835
Total Nacional;1. CONTRA LAS PERSONAS;Ambos sexos;2020;28.944
Total Nacional;1. CONTRA LAS PERSONAS;Ambos sexos;2019;25.183
Total Nacional;1. CONTRA LAS PERSONAS;Ambos sexos;2018;22.512
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Masculino;2024;570
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Masculino;2023;533
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Masculino;2022;445
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Masculino;2021;404
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Masculino;2020;332
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Masculino;2019;265
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Masculino;2018;242
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Femenino;2024;41
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Femenino;2023;35
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Femenino;2022;37
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Femenino;2021;35
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Femenino;2020;49
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Femenino;2019;22
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Femenino;2018;35
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2024;611
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2023;568
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2022;482
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2021;439
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2020;381
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2019;287
Total Nacional;1.1.-Homicidios dolosos/asesinatos;Ambos sexos;2018;277
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2024;122
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2023;125
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2022;96
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2021;97
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2020;84
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2019;88
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Masculino;2018;82
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2024;11
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2023;12
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2022;9
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2021;15
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2020;17
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2019;11
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Femenino;2018;11
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2024;133
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2023;137
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2022;105
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2021;112
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2020;101
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2019;99
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;Ambos sexos;2018;93
Total Nacional;1.2.-Lesiones;Masculino;2024;12.402
Total Nacional;1.2.-Lesiones;Masculino;2023;11.103
Total Nacional;1.2.-Lesiones;Masculino;2022;10.683
Total Nacional;1.2.-Lesiones;Masculino;2021;9.072
Total Nacional;1.2.-Lesiones;Masculino;2020;7.534
Total Nacional;1.2.-Lesiones;Masculino;2019;6.528
Total Nacional;1.2.-Lesiones;Masculino;2018;5.842
Total Nacional;1.2.-Lesiones;Femenino;2024;2.732
Total Nacional;1.2.-Lesiones;Femenino;2023;2.435
Total Nacional;1.2.-Lesiones;Femenino;2022;2.450
Total Nacional;1.2.-Lesiones;Femenino;2021;1.889
Total Nacional;1.2.-Lesiones;Femenino;2020;1.766
Total Nacional;1.2.-Lesiones;Femenino;2019;1.463
Total Nacional;1.2.-Lesiones;Femenino;2018;1.330
Total Nacional;1.2.-Lesiones;Ambos sexos;2024;15.134
Total Nacional;1.2.-Lesiones;Ambos sexos;2023;13.538
Total Nacional;1.2.-Lesiones;Ambos sexos;2022;13.133
Total Nacional;1.2.-Lesiones;Ambos sexos;2021;10.961
Total Nacional;1.2.-Lesiones;Ambos sexos;2020;9.300
Total Nacional;1.2.-Lesiones;Ambos sexos;2019;7.991
Total Nacional;1.2.-Lesiones;Ambos sexos;2018;7.172
Total Nacional;1.3.-Malos tratos ámbito familiar;Masculino;2024;25.536
Total Nacional;1.3.-Malos tratos ámbito familiar;Masculino;2023;23.533
Total Nacional;1.3.-Malos tratos ámbito familiar;Masculino;2022;21.083
Total Nacional;1.3.-Malos tratos ámbito familiar;Masculino;2021;17.587
Total Nacional;1.3.-Malos tratos ámbito familiar;Masculino;2020;15.998
Total Nacional;1.3.-Malos tratos ámbito familiar;Masculino;2019;14.493
Total Nacional;1.3.-Malos tratos ámbito familiar;Masculino;2018;13.120
Total Nacional;1.3.-Malos tratos ámbito familiar;Femenino;2024;4.894
Total Nacional;1.3.-Malos tratos ámbito familiar;Femenino;2023;4.273
Total Nacional;1.3.-Malos tratos ámbito familiar;Femenino;2022;3.604
Total Nacional;1.3.-Malos tratos ámbito familiar;Femenino;2021;2.976
Total Nacional;1.3.-Malos tratos ámbito familiar;Femenino;2020;2.597
Total Nacional;1.3.-Malos tratos ámbito familiar;Femenino;2019;1.923
Total Nacional;1.3.-Malos tratos ámbito familiar;Femenino;2018;1.494
Total Nacional;1.3.-Malos tratos ámbito familiar;Ambos sexos;2024;30.430
Total Nacional;1.3.-Malos tratos ámbito familiar;Ambos sexos;2023;27.806
Total Nacional;1.3.-Malos tratos ámbito familiar;Ambos sexos;2022;24.687
Total Nacional;1.3.-Malos tratos ámbito familiar;Ambos sexos;2021;20.563
Total Nacional;1.3.-Malos tratos ámbito familiar;Ambos sexos;2020;18.595
Total Nacional;1.3.-Malos tratos ámbito familiar;Ambos sexos;2019;16.416
Total Nacional;1.3.-Malos tratos ámbito familiar;Ambos sexos;2018;14.614
Total Nacional;1.4.-Otros contra las personas;Masculino;2024;1.254
Total Nacional;1.4.-Otros contra las personas;Masculino;2023;1.092
Total Nacional;1.4.-Otros contra las personas;Masculino;2022;825
Total Nacional;1.4.-Otros contra las personas;Masculino;2021;747
Total Nacional;1.4.-Otros contra las personas;Masculino;2020;578
Total Nacional;1.4.-Otros contra las personas;Masculino;2019;424
Total Nacional;1.4.-Otros contra las personas;Masculino;2018;375
Total Nacional;1.4.-Otros contra las personas;Femenino;2024;224
Total Nacional;1.4.-Otros contra las personas;Femenino;2023;212
Total Nacional;1.4.-Otros contra las personas;Femenino;2022;149
Total Nacional;1.4.-Otros contra las personas;Femenino;2021;125
Total Nacional;1.4.-Otros contra las personas;Femenino;2020;90
Total Nacional;1.4.-Otros contra las personas;Femenino;2019;65
Total Nacional;1.4.-Otros contra las personas;Femenino;2018;74
Total Nacional;1.4.-Otros contra las personas;Ambos sexos;2024;1.478
Total Nacional;1.4.-Otros contra las personas;Ambos sexos;2023;1.304
Total Nacional;1.4.-Otros contra las personas;Ambos sexos;2022;974
Total Nacional;1.4.-Otros contra las personas;Ambos sexos;2021;872
Total Nacional;1.4.-Otros contra las personas;Ambos sexos;2020;668
Total Nacional;1.4.-Otros contra las personas;Ambos sexos;2019;489
Total Nacional;1.4.-Otros contra las personas;Ambos sexos;2018;449
Total Nacional;2. CONTRA LA LIBERTAD;Masculino;2024;14.459
Total Nacional;2. CONTRA LA LIBERTAD;Masculino;2023;13.082
Total Nacional;2. CONTRA LA LIBERTAD;Masculino;2022;11.242
Total Nacional;2. CONTRA LA LIBERTAD;Masculino;2021;10.240
Total Nacional;2. CONTRA LA LIBERTAD;Masculino;2020;8.958
Total Nacional;2. CONTRA LA LIBERTAD;Masculino;2019;6.779
Total Nacional;2. CONTRA LA LIBERTAD;Masculino;2018;5.964
Total Nacional;2. CONTRA LA LIBERTAD;Femenino;2024;2.642
Total Nacional;2. CONTRA LA LIBERTAD;Femenino;2023;2.504
Total Nacional;2. CONTRA LA LIBERTAD;Femenino;2022;2.186
Total Nacional;2. CONTRA LA LIBERTAD;Femenino;2021;1.963
Total Nacional;2. CONTRA LA LIBERTAD;Femenino;2020;1.785
Total Nacional;2. CONTRA LA LIBERTAD;Femenino;2019;1.240
Total Nacional;2. CONTRA LA LIBERTAD;Femenino;2018;1.197
Total Nacional;2. CONTRA LA LIBERTAD;Ambos sexos;2024;17.101
Total Nacional;2. CONTRA LA LIBERTAD;Ambos sexos;2023;15.586
Total Nacional;2. CONTRA LA LIBERTAD;Ambos sexos;2022;13.428
Total Nacional;2. CONTRA LA LIBERTAD;Ambos sexos;2021;12.203
