Comunidades autónomas;Nacionalidad;Sexo;periodo;Total
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Masculino;2024;75.576
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Masculino;2023;66.447
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Masculino;2022;57.780
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Masculino;2021;49.246
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Masculino;2020;41.257
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Masculino;2019;30.435
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Masculino;2018;26.400
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Femenino;2024;4.913
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Femenino;2023;4.439
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Femenino;2022;4.218
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Femenino;2021;3.616
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Femenino;2020;3.400
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Femenino;2019;2.727
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Femenino;2018;2.512
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Ambos sexos;2024;80.489
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Ambos sexos;2023;70.886
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Ambos sexos;2022;61.998
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Ambos sexos;2021;52.862
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Ambos sexos;2020;44.657
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Ambos sexos;2019;33.162
TOTAL NACIONAL;1.-CONTINENTE AFRICANO;Ambos sexos;2018;28.912
TOTAL NACIONAL;1.01.-Marruecos;Masculino;2024;49.007
TOTAL NACIONAL;1.01.-Marruecos;Masculino;2023;44.395
TOTAL NACIONAL;1.01.-Marruecos;Masculino;2022;39.423
TOTAL NACIONAL;1.01.-Marruecos;Masculino;2021;34.847
TOTAL NACIONAL;1.01.-Marruecos;Masculino;2020;29.504
TOTAL NACIONAL;1.01.-Marruecos;Masculino;2019;20.670
TOTAL NACIONAL;1.01.-Marruecos;Masculino;2018;17.721
TOTAL NACIONAL;1.01.-Marruecos;Femenino;2024;3.804
TOTAL NACIONAL;1.01.-Marruecos;Femenino;2023;3.401
TOTAL NACIONAL;1.01.-Marruecos;Femenino;2022;3.223
TOTAL NACIONAL;1.01.-Marruecos;Femenino;2021;2.870
TOTAL NACIONAL;1.01.-Marruecos;Femenino;2020;2.723
TOTAL NACIONAL;1.01.-Marruecos;Femenino;2019;2.061
TOTAL NACIONAL;1.01.-Marruecos;Femenino;2018;1.824
TOTAL NACIONAL;1.01.-Marruecos;Ambos sexos;2024;52.811
TOTAL NACIONAL;1.01.-Marruecos;Ambos sexos;2023;47.796
TOTAL NACIONAL;1.01.-Marruecos;Ambos sexos;2022;42.646
TOTAL NACIONAL;1.01.-Marruecos;Ambos sexos;2021;37.717
TOTAL NACIONAL;1.01.-Marruecos;Ambos sexos;2020;32.227
TOTAL NACIONAL;1.01.-Marruecos;Ambos sexos;2019;22.731
TOTAL NACIONAL;1.01.-Marruecos;Ambos sexos;2018;19.545
TOTAL NACIONAL;1.02.-Argelia;Masculino;2024;15.306
TOTAL NACIONAL;1.02.-Argelia;Masculino;2023;11.588
TOTAL NACIONAL;1.02.-Argelia;Masculino;2022;9.169
TOTAL NACIONAL;1.02.-Argelia;Masculino;2021;6.626
TOTAL NACIONAL;1.02.-Argelia;Masculino;2020;4.640
TOTAL NACIONAL;1.02.-Argelia;Masculino;2019;3.246
TOTAL NACIONAL;1.02.-Argelia;Masculino;2018;2.653
TOTAL NACIONAL;1.02.-Argelia;Femenino;2024;392
TOTAL NACIONAL;1.02.-Argelia;Femenino;2023;312
TOTAL NACIONAL;1.02.-Argelia;Femenino;2022;231
TOTAL NACIONAL;1.02.-Argelia;Femenino;2021;172
TOTAL NACIONAL;1.02.-Argelia;Femenino;2020;174
TOTAL NACIONAL;1.02.-Argelia;Femenino;2019;139
TOTAL NACIONAL;1.02.-Argelia;Femenino;2018;121
TOTAL NACIONAL;1.02.-Argelia;Ambos sexos;2024;15.698
TOTAL NACIONAL;1.02.-Argelia;Ambos sexos;2023;11.900
TOTAL NACIONAL;1.02.-Argelia;Ambos sexos;2022;9.400
TOTAL NACIONAL;1.02.-Argelia;Ambos sexos;2021;6.798
TOTAL NACIONAL;1.02.-Argelia;Ambos sexos;2020;4.814
TOTAL NACIONAL;1.02.-Argelia;Ambos sexos;2019;3.385
TOTAL NACIONAL;1.02.-Argelia;Ambos sexos;2018;2.774
TOTAL NACIONAL;1.03.-Senegal;Masculino;2024;3.892
TOTAL NACIONAL;1.03.-Senegal;Masculino;2023;3.335
TOTAL NACIONAL;1.03.-Senegal;Masculino;2022;2.860
TOTAL NACIONAL;1.03.-Senegal;Masculino;2021;2.311
TOTAL NACIONAL;1.03.-Senegal;Masculino;2020;1.854
TOTAL NACIONAL;1.03.-Senegal;Masculino;2019;1.958
TOTAL NACIONAL;1.03.-Senegal;Masculino;2018;1.910
TOTAL NACIONAL;1.03.-Senegal;Femenino;2024;124
TOTAL NACIONAL;1.03.-Senegal;Femenino;2023;128
TOTAL NACIONAL;1.03.-Senegal;Femenino;2022;153
TOTAL NACIONAL;1.03.-Senegal;Femenino;2021;125
TOTAL NACIONAL;1.03.-Senegal;Femenino;2020;68
TOTAL NACIONAL;1.03.-Senegal;Femenino;2019;72
TOTAL NACIONAL;1.03.-Senegal;Femenino;2018;61
TOTAL NACIONAL;1.03.-Senegal;Ambos sexos;2024;4.016
TOTAL NACIONAL;1.03.-Senegal;Ambos sexos;2023;3.463
TOTAL NACIONAL;1.03.-Senegal;Ambos sexos;2022;3.013
TOTAL NACIONAL;1.03.-Senegal;Ambos sexos;2021;2.436
TOTAL NACIONAL;1.03.-Senegal;Ambos sexos;2020;1.922
TOTAL NACIONAL;1.03.-Senegal;Ambos sexos;2019;2.030
TOTAL NACIONAL;1.03.-Senegal;Ambos sexos;2018;1.971
TOTAL NACIONAL;1.04.-Nigeria;Masculino;2024;882
TOTAL NACIONAL;1.04.-Nigeria;Masculino;2023;982
TOTAL NACIONAL;1.04.-Nigeria;Masculino;2022;993
TOTAL NACIONAL;1.04.-Nigeria;Masculino;2021;782
TOTAL NACIONAL;1.04.-Nigeria;Masculino;2020;797
TOTAL NACIONAL;1.04.-Nigeria;Masculino;2019;898
TOTAL NACIONAL;1.04.-Nigeria;Masculino;2018;800
TOTAL NACIONAL;1.04.-Nigeria;Femenino;2024;164
TOTAL NACIONAL;1.04.-Nigeria;Femenino;2023;177
TOTAL NACIONAL;1.04.-Nigeria;Femenino;2022;205
TOTAL NACIONAL;1.04.-Nigeria;Femenino;2021;136
TOTAL NACIONAL;1.04.-Nigeria;Femenino;2020;151
TOTAL NACIONAL;1.04.-Nigeria;Femenino;2019;174
TOTAL NACIONAL;1.04.-Nigeria;Femenino;2018;243
TOTAL NACIONAL;1.04.-Nigeria;Ambos sexos;2024;1.046
TOTAL NACIONAL;1.04.-Nigeria;Ambos sexos;2023;1.159
TOTAL NACIONAL;1.04.-Nigeria;Ambos sexos;2022;1.198
TOTAL NACIONAL;1.04.-Nigeria;Ambos sexos;2021;918
TOTAL NACIONAL;1.04.-Nigeria;Ambos sexos;2020;948
TOTAL NACIONAL;1.04.-Nigeria;Ambos sexos;2019;1.072
TOTAL NACIONAL;1.04.-Nigeria;Ambos sexos;2018;1.043
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Masculino;2024;402
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Masculino;2023;433
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Masculino;2022;400
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Masculino;2021;343
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Masculino;2020;262
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Masculino;2019;290
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Masculino;2018;274
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2024;111
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2023;137
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2022;132
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2021;94
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2020;88
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2019;104
