Provincias;Nacionalidad;Sexo;periodo;Total
Total Nacional;1.-CONTINENTE AFRICANO;Masculino;2024;75.576
Total Nacional;1.-CONTINENTE AFRICANO;Masculino;2023;66.447
Total Nacional;1.-CONTINENTE AFRICANO;Masculino;2022;57.780
Total Nacional;1.-CONTINENTE AFRICANO;Masculino;2021;49.246
Total Nacional;1.-CONTINENTE AFRICANO;Masculino;2020;41.257
Total Nacional;1.-CONTINENTE AFRICANO;Masculino;2019;30.435
Total Nacional;1.-CONTINENTE AFRICANO;Masculino;2018;26.400
Total Nacional;1.-CONTINENTE AFRICANO;Femenino;2024;4.913
Total Nacional;1.-CONTINENTE AFRICANO;Femenino;2023;4.439
Total Nacional;1.-CONTINENTE AFRICANO;Femenino;2022;4.218
Total Nacional;1.-CONTINENTE AFRICANO;Femenino;2021;3.616
Total Nacional;1.-CONTINENTE AFRICANO;Femenino;2020;3.400
Total Nacional;1.-CONTINENTE AFRICANO;Femenino;2019;2.727
Total Nacional;1.-CONTINENTE AFRICANO;Femenino;2018;2.512
Total Nacional;1.-CONTINENTE AFRICANO;Ambos sexos;2024;80.489
Total Nacional;1.-CONTINENTE AFRICANO;Ambos sexos;2023;70.886
Total Nacional;1.-CONTINENTE AFRICANO;Ambos sexos;2022;61.998
Total Nacional;1.-CONTINENTE AFRICANO;Ambos sexos;2021;52.862
Total Nacional;1.-CONTINENTE AFRICANO;Ambos sexos;2020;44.657
Total Nacional;1.-CONTINENTE AFRICANO;Ambos sexos;2019;33.162
Total Nacional;1.-CONTINENTE AFRICANO;Ambos sexos;2018;28.912
Total Nacional;1.01.-Marruecos;Masculino;2024;49.007
Total Nacional;1.01.-Marruecos;Masculino;2023;44.395
Total Nacional;1.01.-Marruecos;Masculino;2022;39.423
Total Nacional;1.01.-Marruecos;Masculino;2021;34.847
Total Nacional;1.01.-Marruecos;Masculino;2020;29.504
Total Nacional;1.01.-Marruecos;Masculino;2019;20.670
Total Nacional;1.01.-Marruecos;Masculino;2018;17.721
Total Nacional;1.01.-Marruecos;Femenino;2024;3.804
Total Nacional;1.01.-Marruecos;Femenino;2023;3.401
Total Nacional;1.01.-Marruecos;Femenino;2022;3.223
Total Nacional;1.01.-Marruecos;Femenino;2021;2.870
Total Nacional;1.01.-Marruecos;Femenino;2020;2.723
Total Nacional;1.01.-Marruecos;Femenino;2019;2.061
Total Nacional;1.01.-Marruecos;Femenino;2018;1.824
Total Nacional;1.01.-Marruecos;Ambos sexos;2024;52.811
Total Nacional;1.01.-Marruecos;Ambos sexos;2023;47.796
Total Nacional;1.01.-Marruecos;Ambos sexos;2022;42.646
Total Nacional;1.01.-Marruecos;Ambos sexos;2021;37.717
Total Nacional;1.01.-Marruecos;Ambos sexos;2020;32.227
Total Nacional;1.01.-Marruecos;Ambos sexos;2019;22.731
Total Nacional;1.01.-Marruecos;Ambos sexos;2018;19.545
Total Nacional;1.02.-Argelia;Masculino;2024;15.306
Total Nacional;1.02.-Argelia;Masculino;2023;11.588
Total Nacional;1.02.-Argelia;Masculino;2022;9.169
Total Nacional;1.02.-Argelia;Masculino;2021;6.626
Total Nacional;1.02.-Argelia;Masculino;2020;4.640
Total Nacional;1.02.-Argelia;Masculino;2019;3.246
Total Nacional;1.02.-Argelia;Masculino;2018;2.653
Total Nacional;1.02.-Argelia;Femenino;2024;392
Total Nacional;1.02.-Argelia;Femenino;2023;312
Total Nacional;1.02.-Argelia;Femenino;2022;231
Total Nacional;1.02.-Argelia;Femenino;2021;172
Total Nacional;1.02.-Argelia;Femenino;2020;174
Total Nacional;1.02.-Argelia;Femenino;2019;139
Total Nacional;1.02.-Argelia;Femenino;2018;121
Total Nacional;1.02.-Argelia;Ambos sexos;2024;15.698
Total Nacional;1.02.-Argelia;Ambos sexos;2023;11.900
Total Nacional;1.02.-Argelia;Ambos sexos;2022;9.400
Total Nacional;1.02.-Argelia;Ambos sexos;2021;6.798
Total Nacional;1.02.-Argelia;Ambos sexos;2020;4.814
Total Nacional;1.02.-Argelia;Ambos sexos;2019;3.385
Total Nacional;1.02.-Argelia;Ambos sexos;2018;2.774
Total Nacional;1.03.-Senegal;Masculino;2024;3.892
Total Nacional;1.03.-Senegal;Masculino;2023;3.335
Total Nacional;1.03.-Senegal;Masculino;2022;2.860
Total Nacional;1.03.-Senegal;Masculino;2021;2.311
Total Nacional;1.03.-Senegal;Masculino;2020;1.854
Total Nacional;1.03.-Senegal;Masculino;2019;1.958
Total Nacional;1.03.-Senegal;Masculino;2018;1.910
Total Nacional;1.03.-Senegal;Femenino;2024;124
Total Nacional;1.03.-Senegal;Femenino;2023;128
Total Nacional;1.03.-Senegal;Femenino;2022;153
Total Nacional;1.03.-Senegal;Femenino;2021;125
Total Nacional;1.03.-Senegal;Femenino;2020;68
Total Nacional;1.03.-Senegal;Femenino;2019;72
Total Nacional;1.03.-Senegal;Femenino;2018;61
Total Nacional;1.03.-Senegal;Ambos sexos;2024;4.016
Total Nacional;1.03.-Senegal;Ambos sexos;2023;3.463
Total Nacional;1.03.-Senegal;Ambos sexos;2022;3.013
Total Nacional;1.03.-Senegal;Ambos sexos;2021;2.436
Total Nacional;1.03.-Senegal;Ambos sexos;2020;1.922
Total Nacional;1.03.-Senegal;Ambos sexos;2019;2.030
Total Nacional;1.03.-Senegal;Ambos sexos;2018;1.971
Total Nacional;1.04.-Nigeria;Masculino;2024;882
Total Nacional;1.04.-Nigeria;Masculino;2023;982
Total Nacional;1.04.-Nigeria;Masculino;2022;993
Total Nacional;1.04.-Nigeria;Masculino;2021;782
Total Nacional;1.04.-Nigeria;Masculino;2020;797
Total Nacional;1.04.-Nigeria;Masculino;2019;898
Total Nacional;1.04.-Nigeria;Masculino;2018;800
Total Nacional;1.04.-Nigeria;Femenino;2024;164
Total Nacional;1.04.-Nigeria;Femenino;2023;177
Total Nacional;1.04.-Nigeria;Femenino;2022;205
Total Nacional;1.04.-Nigeria;Femenino;2021;136
Total Nacional;1.04.-Nigeria;Femenino;2020;151
Total Nacional;1.04.-Nigeria;Femenino;2019;174
Total Nacional;1.04.-Nigeria;Femenino;2018;243
Total Nacional;1.04.-Nigeria;Ambos sexos;2024;1.046
Total Nacional;1.04.-Nigeria;Ambos sexos;2023;1.159
Total Nacional;1.04.-Nigeria;Ambos sexos;2022;1.198
Total Nacional;1.04.-Nigeria;Ambos sexos;2021;918
Total Nacional;1.04.-Nigeria;Ambos sexos;2020;948
Total Nacional;1.04.-Nigeria;Ambos sexos;2019;1.072
Total Nacional;1.04.-Nigeria;Ambos sexos;2018;1.043
Total Nacional;1.05.-Guinea Ecuatorial;Masculino;2024;402
Total Nacional;1.05.-Guinea Ecuatorial;Masculino;2023;433
Total Nacional;1.05.-Guinea Ecuatorial;Masculino;2022;400
Total Nacional;1.05.-Guinea Ecuatorial;Masculino;2021;343
Total Nacional;1.05.-Guinea Ecuatorial;Masculino;2020;262
Total Nacional;1.05.-Guinea Ecuatorial;Masculino;2019;290
Total Nacional;1.05.-Guinea Ecuatorial;Masculino;2018;274
Total Nacional;1.05.-Guinea Ecuatorial;Femenino;2024;111
Total Nacional;1.05.-Guinea Ecuatorial;Femenino;2023;137
Total Nacional;1.05.-Guinea Ecuatorial;Femenino;2022;132
Total Nacional;1.05.-Guinea Ecuatorial;Femenino;2021;94
Total Nacional;1.05.-Guinea Ecuatorial;Femenino;2020;88
Total Nacional;1.05.-Guinea Ecuatorial;Femenino;2019;104
Total Nacional;1.05.-Guinea Ecuatorial;Femenino;2018;111
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2024;513
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2023;570
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2022;532
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2021;437
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2020;350
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2019;394
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2018;385
Total Nacional;1.06.-Ghana;Masculino;2024;521
Total Nacional;1.06.-Ghana;Masculino;2023;533
Total Nacional;1.06.-Ghana;Masculino;2022;463
Total Nacional;1.06.-Ghana;Masculino;2021;459
Total Nacional;1.06.-Ghana;Masculino;2020;415
Total Nacional;1.06.-Ghana;Masculino;2019;364
Total Nacional;1.06.-Ghana;Masculino;2018;361
Total Nacional;1.06.-Ghana;Femenino;2024;32
Total Nacional;1.06.-Ghana;Femenino;2023;35
Total Nacional;1.06.-Ghana;Femenino;2022;27
Total Nacional;1.06.-Ghana;Femenino;2021;12
Total Nacional;1.06.-Ghana;Femenino;2020;15
