Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2024;236.010
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2023;226.761
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2022;212.804
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2021;183.590
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2020;161.406
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2019;186.110
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2018;177.165
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2024;1.695
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2023;1.692
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2022;1.539
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2021;1.322
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2020;1.201
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2019;1.167
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2018;1.088
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;349
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;333
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;326
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;293
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;298
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;331
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;289
TOTAL NACIONAL;1.2.-Lesiones;2024;123.028
TOTAL NACIONAL;1.2.-Lesiones;2023;118.125
TOTAL NACIONAL;1.2.-Lesiones;2022;113.704
TOTAL NACIONAL;1.2.-Lesiones;2021;96.159
TOTAL NACIONAL;1.2.-Lesiones;2020;81.449
TOTAL NACIONAL;1.2.-Lesiones;2019;103.341
TOTAL NACIONAL;1.2.-Lesiones;2018;99.928
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2024;104.625
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2023;101.179
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2022;92.695
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2021;82.003
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2020;75.203
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2019;77.424
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2018;72.309
TOTAL NACIONAL;1.4.-Otros contra las personas;2024;6.662
TOTAL NACIONAL;1.4.-Otros contra las personas;2023;5.765
TOTAL NACIONAL;1.4.-Otros contra las personas;2022;4.866
TOTAL NACIONAL;1.4.-Otros contra las personas;2021;4.106
TOTAL NACIONAL;1.4.-Otros contra las personas;2020;3.553
TOTAL NACIONAL;1.4.-Otros contra las personas;2019;4.178
TOTAL NACIONAL;1.4.-Otros contra las personas;2018;3.840
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2024;166.499
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2023;159.113
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2022;143.861
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2021;139.867
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2020;125.010
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2019;125.685
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2018;120.919
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2024;16.517
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2023;17.120
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2022;15.647
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2021;15.008
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2020;13.993
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2019;14.575
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2018;14.196
TOTAL NACIONAL;2.2.-Otros contra la libertad;2024;149.982
TOTAL NACIONAL;2.2.-Otros contra la libertad;2023;141.993
TOTAL NACIONAL;2.2.-Otros contra la libertad;2022;128.214
TOTAL NACIONAL;2.2.-Otros contra la libertad;2021;124.859
TOTAL NACIONAL;2.2.-Otros contra la libertad;2020;111.017
TOTAL NACIONAL;2.2.-Otros contra la libertad;2019;111.110
TOTAL NACIONAL;2.2.-Otros contra la libertad;2018;106.723
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2024;22.846
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2023;21.825
TOTAL NACIONAL;3. LIBERTAD SEXUAL;2022;19.013
