Provincias;Tipología penal;periodo;Total
Total Nacional;1. CONTRA LAS PERSONAS;2024;236.010
Total Nacional;1. CONTRA LAS PERSONAS;2023;226.761
Total Nacional;1. CONTRA LAS PERSONAS;2022;212.804
Total Nacional;1. CONTRA LAS PERSONAS;2021;183.590
Total Nacional;1. CONTRA LAS PERSONAS;2020;161.406
Total Nacional;1. CONTRA LAS PERSONAS;2019;186.110
Total Nacional;1. CONTRA LAS PERSONAS;2018;177.165
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2024;1.695
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2023;1.692
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2022;1.539
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2021;1.322
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2020;1.201
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2019;1.167
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2018;1.088
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;349
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;333
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;326
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;293
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;298
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;331
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;289
Total Nacional;1.2.-Lesiones;2024;123.028
Total Nacional;1.2.-Lesiones;2023;118.125
Total Nacional;1.2.-Lesiones;2022;113.704
Total Nacional;1.2.-Lesiones;2021;96.159
Total Nacional;1.2.-Lesiones;2020;81.449
Total Nacional;1.2.-Lesiones;2019;103.341
Total Nacional;1.2.-Lesiones;2018;99.928
Total Nacional;1.3.-Malos tratos ámbito familiar;2024;104.625
Total Nacional;1.3.-Malos tratos ámbito familiar;2023;101.179
Total Nacional;1.3.-Malos tratos ámbito familiar;2022;92.695
Total Nacional;1.3.-Malos tratos ámbito familiar;2021;82.003
Total Nacional;1.3.-Malos tratos ámbito familiar;2020;75.203
Total Nacional;1.3.-Malos tratos ámbito familiar;2019;77.424
Total Nacional;1.3.-Malos tratos ámbito familiar;2018;72.309
Total Nacional;1.4.-Otros contra las personas;2024;6.662
Total Nacional;1.4.-Otros contra las personas;2023;5.765
Total Nacional;1.4.-Otros contra las personas;2022;4.866
Total Nacional;1.4.-Otros contra las personas;2021;4.106
Total Nacional;1.4.-Otros contra las personas;2020;3.553
Total Nacional;1.4.-Otros contra las personas;2019;4.178
Total Nacional;1.4.-Otros contra las personas;2018;3.840
Total Nacional;2. CONTRA LA LIBERTAD;2024;166.499
Total Nacional;2. CONTRA LA LIBERTAD;2023;159.113
Total Nacional;2. CONTRA LA LIBERTAD;2022;143.861
Total Nacional;2. CONTRA LA LIBERTAD;2021;139.867
Total Nacional;2. CONTRA LA LIBERTAD;2020;125.010
Total Nacional;2. CONTRA LA LIBERTAD;2019;125.685
Total Nacional;2. CONTRA LA LIBERTAD;2018;120.919
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2024;16.517
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2023;17.120
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2022;15.647
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2021;15.008
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2020;13.993
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2019;14.575
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2018;14.196
Total Nacional;2.2.-Otros contra la libertad;2024;149.982
Total Nacional;2.2.-Otros contra la libertad;2023;141.993
Total Nacional;2.2.-Otros contra la libertad;2022;128.214
Total Nacional;2.2.-Otros contra la libertad;2021;124.859
Total Nacional;2.2.-Otros contra la libertad;2020;111.017
Total Nacional;2.2.-Otros contra la libertad;2019;111.110
Total Nacional;2.2.-Otros contra la libertad;2018;106.723
Total Nacional;3. LIBERTAD SEXUAL;2024;22.846
Total Nacional;3. LIBERTAD SEXUAL;2023;21.825
Total Nacional;3. LIBERTAD SEXUAL;2022;19.013
Total Nacional;3. LIBERTAD SEXUAL;2021;17.016
Total Nacional;3. LIBERTAD SEXUAL;2020;13.174
Total Nacional;3. LIBERTAD SEXUAL;2019;15.319
Total Nacional;3. LIBERTAD SEXUAL;2018;13.782
Total Nacional;3.1.-Agresión sexual;2024;13.674
Total Nacional;3.1.-Agresión sexual;2023;12.727
Total Nacional;3.1.-Agresión sexual;2022;11.426
Total Nacional;3.1.-Agresión sexual;2021;10.061
Total Nacional;3.1.-Agresión sexual;2020;7.276
Total Nacional;3.1.-Agresión sexual;2019;8.885
Total Nacional;3.1.-Agresión sexual;2018;7.983
Total Nacional;3.2.-Agresión sexual con penetración;2024;5.222
