Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2024;203.657
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2023;195.302
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2022;181.894
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2021;159.540
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2020;141.869
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2019;159.909
TOTAL NACIONAL;1. CONTRA LAS PERSONAS;2018;153.525
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2024;1.483
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2023;1.544
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2022;1.384
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2021;1.165
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2020;1.101
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2019;1.090
TOTAL NACIONAL;1.1.-Homicidios dolosos/asesinatos;2018;1.008
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;326
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;315
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;319
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;261
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;279
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;254
TOTAL NACIONAL;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;227
TOTAL NACIONAL;1.2.-Lesiones;2024;94.934
TOTAL NACIONAL;1.2.-Lesiones;2023;90.444
TOTAL NACIONAL;1.2.-Lesiones;2022;86.577
TOTAL NACIONAL;1.2.-Lesiones;2021;74.813
TOTAL NACIONAL;1.2.-Lesiones;2020;64.416
TOTAL NACIONAL;1.2.-Lesiones;2019;79.537
TOTAL NACIONAL;1.2.-Lesiones;2018;78.214
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2024;102.055
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2023;98.901
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2022;90.267
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2021;80.426
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2020;73.699
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2019;76.160
TOTAL NACIONAL;1.3.-Malos tratos ámbito familiar;2018;71.414
TOTAL NACIONAL;1.4.-Otros contra las personas;2024;5.185
TOTAL NACIONAL;1.4.-Otros contra las personas;2023;4.413
TOTAL NACIONAL;1.4.-Otros contra las personas;2022;3.666
TOTAL NACIONAL;1.4.-Otros contra las personas;2021;3.136
TOTAL NACIONAL;1.4.-Otros contra las personas;2020;2.653
TOTAL NACIONAL;1.4.-Otros contra las personas;2019;3.122
TOTAL NACIONAL;1.4.-Otros contra las personas;2018;2.889
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2024;124.308
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2023;120.003
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2022;107.702
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2021;104.418
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2020;94.335
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2019;96.246
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;2018;92.985
TOTAL NACIONAL;2.1.-Malos tratos habituales en el ámbito familiar;2024;14.152
