Provincias;Tipología penal;periodo;Total
Total Nacional;1. CONTRA LAS PERSONAS;2024;203.657
Total Nacional;1. CONTRA LAS PERSONAS;2023;195.302
Total Nacional;1. CONTRA LAS PERSONAS;2022;181.894
Total Nacional;1. CONTRA LAS PERSONAS;2021;159.540
Total Nacional;1. CONTRA LAS PERSONAS;2020;141.869
Total Nacional;1. CONTRA LAS PERSONAS;2019;159.909
Total Nacional;1. CONTRA LAS PERSONAS;2018;153.525
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2024;1.483
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2023;1.544
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2022;1.384
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2021;1.165
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2020;1.101
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2019;1.090
Total Nacional;1.1.-Homicidios dolosos/asesinatos;2018;1.008
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;326
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;315
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;319
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;261
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;279
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;254
Total Nacional;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;227
Total Nacional;1.2.-Lesiones;2024;94.934
Total Nacional;1.2.-Lesiones;2023;90.444
Total Nacional;1.2.-Lesiones;2022;86.577
Total Nacional;1.2.-Lesiones;2021;74.813
Total Nacional;1.2.-Lesiones;2020;64.416
Total Nacional;1.2.-Lesiones;2019;79.537
Total Nacional;1.2.-Lesiones;2018;78.214
Total Nacional;1.3.-Malos tratos ámbito familiar;2024;102.055
Total Nacional;1.3.-Malos tratos ámbito familiar;2023;98.901
Total Nacional;1.3.-Malos tratos ámbito familiar;2022;90.267
Total Nacional;1.3.-Malos tratos ámbito familiar;2021;80.426
Total Nacional;1.3.-Malos tratos ámbito familiar;2020;73.699
Total Nacional;1.3.-Malos tratos ámbito familiar;2019;76.160
Total Nacional;1.3.-Malos tratos ámbito familiar;2018;71.414
Total Nacional;1.4.-Otros contra las personas;2024;5.185
Total Nacional;1.4.-Otros contra las personas;2023;4.413
Total Nacional;1.4.-Otros contra las personas;2022;3.666
Total Nacional;1.4.-Otros contra las personas;2021;3.136
Total Nacional;1.4.-Otros contra las personas;2020;2.653
Total Nacional;1.4.-Otros contra las personas;2019;3.122
Total Nacional;1.4.-Otros contra las personas;2018;2.889
Total Nacional;2. CONTRA LA LIBERTAD;2024;124.308
Total Nacional;2. CONTRA LA LIBERTAD;2023;120.003
Total Nacional;2. CONTRA LA LIBERTAD;2022;107.702
Total Nacional;2. CONTRA LA LIBERTAD;2021;104.418
Total Nacional;2. CONTRA LA LIBERTAD;2020;94.335
Total Nacional;2. CONTRA LA LIBERTAD;2019;96.246
Total Nacional;2. CONTRA LA LIBERTAD;2018;92.985
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2024;14.152
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2023;14.705
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2022;13.288
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2021;12.617
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2020;11.329
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2019;11.860
Total Nacional;2.1.-Malos tratos habituales en el ámbito familiar;2018;11.347
Total Nacional;2.2.-Otros contra la libertad;2024;110.156
