Contabilidad Nacional Anual de España. Revisión Estadística 2024,,,,,,,,,
,,,,,,,,,
Formación bruta de capital por tipo de activo,,,,,,,,,
,,,,,,,,,
Precios corrientes,,,,,,,,,
Unidad: millones de euros,,,,,,,,,
,2018.0,2019.0,2020.0,2021.0,2022.0,,2023(P),,2024(A)
,,,,,,,,,
FORMACIÓN BRUTA DE CAPITAL FIJO,238502.0,254566.0,232798.0,249560.0,281890.0,0.0,306529,0.0,323455
,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
  AN.111  Viviendas ,63783.0,70770.0,65084.0,69338.0,83048.0,0.0,87059,0.0,91060
  AN.112  Otros edificios y construcciones,55129.0,61177.0,55457.0,59401.0,64414.0,0.0,72660,0.0,78226
  AN.113+AN.114  Maquinaria y bs. de equipo y sistemas de armamento,75586.0,77629.0,68013.0,72389.0,79601.0,0.0,84621,0.0,87973
    AN.1131   Equipos de transporte,26976.0,26743.0,18253.0,18067.0,20808.0,0.0,25067,0.0,26121
"    AN.1132 +AN.1139+AN.114 Resto de maq.,bienes de equipo  y sistemas 
    de armamento",48610.0,50886.0,49760.0,54322.0,58793.0,0.0,59554,0.0,61852
  AN.115   Recursos biológicos cultivados,2362.0,2599.0,2735.0,2616.0,2411.0,0.0,2443,0.0,2636
  AN.117  Productos de la propiedad intelectual,41642.0,42391.0,41509.0,45816.0,52416.0,0.0,59746,0.0,63560
                   AN.1171  Investigación y Desarrollo,16390.0,16692.0,16972.0,18612.0,22339.0,0.0,24145,0.0,25530
                   AN.1173 Programas informáticos y bases de datos,21436.0,22185.0,21405.0,23687.0,26096.0,0.0,31417,0.0,33128
"                   AN.1172+AN.1174+AN.1179  Resto de productos de 
                   la propiedad intelectual",3816.0,3514.0,3132.0,3517.0,3981.0,0.0,4184,0.0,4902
,,,,,,,,,
"Índices de volumen encadenados, referencia año 2020= 100",,,,,,,,,
,,,,,,,,,
,2018.0,2019.0,2020.0,2021.0,2022.0,,2023(P),,2024(A)
,,,,,,,,,
FORMACIÓN BRUTA DE CAPITAL FIJO,104.682972398305,109.803397199769,100.0,102.635331918659,106.99474255472974,0.0,113.31217309529848,0.0,117.3503625615253
,100.0,100.0,100.0,100.0,100.0,0.0,100,0.0,100
  AN.111  Viviendas ,102.210027531966,109.368238857637,100.0,100.825087579129,109.87546897306107,0.0,110.73015003650147,0.0,113.07425767060333
  AN.112  Otros edificios y construcciones,99.1483580402603,109.061575213035,100.0,100.120814324612,98.21619116697458,0.0,109.70681768658709,0.0,116.56160646028796
  AN.113+AN.114  Maquinaria y bs. de equipo y sistemas de armamento,113.751573711032,115.655309068697,100.0,103.253789716672,105.4618167163735,0.0,108.23346682844061,0.0,110.32853092204604
    AN.1131   Equipos de transporte,154.400890828805,150.800721777377,100.0,93.2942529995069,96.57326172562013,0.0,110.09760258819495,0.0,113.17648795199295
"    AN.1132 +AN.1139+AN.114 Resto de maq.,bienes de equipo  y sistemas 
    de armamento",99.1711872428458,103.035211695385,100.0,106.907154340836,108.70396285144285,0.0,107.1841448890343,0.0,108.87053948488052
  AN.115   Recursos biológicos cultivados,87.6589654969548,97.1225710014948,100.0,93.6745886654479,80.99844019925196,0.0,77.67249844075924,0.0,82.34620178533216
  AN.117  Productos de la propiedad intelectual,102.382878549979,102.793472198647,100.0,108.410224288708,118.61331681387237,0.0,133.2521588939422,0.0,139.3988959125159
                   AN.1171  Investigación y Desarrollo,98.9662980072597,99.5942720763723,100.0,107.123497525336,123.34281925467155,0.0,131.18322407770006,0.0,137.87685555683555
                   AN.1173 Programas informáticos y bases de datos,102.097515277411,103.964571910586,100.0,108.853071712217,114.29871235809748,0.0,135.1690895954647,0.0,138.85196003801866
"                   AN.1172+AN.1174+AN.1179  Resto de productos de 
                   la propiedad intelectual",122.469664394959,111.910828025478,100.0,112.35632183908,122.22783262903658,0.0,130.9474268180962,0.0,151.85394716094711
,,,,,,,,,
Variaciones de volumen. Tasas interanuales,,,,,,,,,
,,,,,,,,,
,2018.0,2019.0,2020.0,2021.0,2022.0,,2023(P),,2024(A)
,,,,,,,,,
FORMACIÓN BRUTA DE CAPITAL FIJO,6.48849267880311,4.89136359443527,-8.92813651469559,2.6353319186591,4.247475556980285,0.0,5.9044308063429085,0.0,3.5637737375582734
,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
  AN.111  Viviendas ,14.5260410057466,7.0034335167678,-8.56577645895154,0.825087579128514,8.976318901612391,0.0,0.7778634042963084,0.0,2.1169551683341226
  AN.112  Otros edificios y construcciones,5.26264439587887,9.99836746539933,-8.308678097978,0.120814324611862,-1.9023248766855794,0.0,11.699320023597348,0.0,6.248279658684286
  AN.113+AN.114  Maquinaria y bs. de equipo y sistemas de armamento,4.21643141512849,1.67359034741883,-13.5361784899973,3.25378971667178,2.1384464490461275,0.0,2.628107687089365,0.0,1.9356897224093395
    AN.1131   Equipos de transporte,-0.540417973621554,-2.33170225385528,-33.6873200463673,-6.70574700049307,3.5146953008247106,0.0,14.004229142637437,0.0,2.7965053656201277
"    AN.1132 +AN.1139+AN.114 Resto de maq.,bienes de equipo  y sistemas 
    de armamento",6.99032549529497,3.89631763011726,-2.94580041661754,6.90715434083602,1.680718677515558,0.0,-1.3981256272005194,0.0,1.573361990798272
  AN.115   Recursos biológicos cultivados,3.17944250871081,10.7959356477561,2.96267795305887,-6.32541133455212,-13.532110091743121,0.0,-4.106180008295313,0.0,6.017191977077374
  AN.117  Productos de la propiedad intelectual,1.33048054694802,0.401037414149186,-2.71755797221108,8.41022428870843,9.411559280600667,0.0,12.3416514041514,0.0,4.612861112040978
                   AN.1171  Investigación y Desarrollo,4.36074681826992,0.634533251982927,0.407380781212563,7.12349752533585,15.14076939608855,0.0,6.356596087559874,0.0,5.102505694760828
                   AN.1173 Programas informáticos y bases de datos,-0.958571027775179,1.82869938421348,-3.81338742393509,8.85307171221676,5.002744121247948,0.0,18.25950337216431,0.0,2.7246395263710754
"                   AN.1172+AN.1174+AN.1179  Resto de productos de 
                   la propiedad intelectual",1.86989728733211,-8.62159329140462,-10.6431417188389,12.3563218390804,8.785897071367632,0.0,7.133885958301933,0.0,15.965583173996167
,,,,,,,,,
(P)  Estimación provisional,,,,,,,,,
(A) Estimación avance,,,,,,,,,
