,,,,,,,,,,,,,
Contabilidad Nacional Anual de España. Revisión Estadística 2024,,,,,,,,,,,,,
,,,,,,,,,,,,,
 << Índice de tablas,,,,,,,,,,,,,
,,,,,,,,,,,,,
Producto interior bruto a precios de mercado y sus componentes,,,,,,,,,,,,,
Precios corrientes,,,,,,,,,,,,,
"Tabla 1.  Demanda, Oferta, Rentas",,,,,,,,,,,,,
Unidad: millones de euros,,,,,,,,,,,,,
,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,,2023 (P),,2024 (A)
Demanda,,,,,,,,,,,,,
    Gasto en consumo final,928041.0,0.0,954152.0,0.0,879177.0,0.0,953000.0,0.0,1051610.0,0.0,1123971,0.0,1190411
      Gasto en consumo final de los hogares,692652.0,0.0,706458.0,0.0,620683.0,0.0,679588.0,0.0,759820.0,0.0,813292,0.0,865125
      Gasto en consumo final de las ISFLSH,11716.0,0.0,13567.0,0.0,12941.0,0.0,13971.0,0.0,15979.0,0.0,16765,0.0,17486
      Gasto en consumo final de las AAPP,223673.0,0.0,234127.0,0.0,245553.0,0.0,259441.0,0.0,275811.0,0.0,293914,0.0,307800
    Formación bruta de capital ,251016.0,0.0,262136.0,0.0,232919.0,0.0,270248.0,0.0,312178.0,0.0,316341,0.0,337571
      Formación bruta de capital fijo,238502.0,0.0,254566.0,0.0,232798.0,0.0,249560.0,0.0,281890.0,0.0,306529,0.0,323455
          Activos fijos materiales,196860.0,0.0,212175.0,0.0,191289.0,0.0,203744.0,0.0,229474.0,0.0,246783,0.0,259895
               Viviendas y otros edificios y construcciones,118912.0,0.0,131947.0,0.0,120541.0,0.0,128739.0,0.0,147462.0,0.0,159719,0.0,169286
"               Maquinaria, bienes de equipo y sistemas de armamento",75586.0,0.0,77629.0,0.0,68013.0,0.0,72389.0,0.0,79601.0,0.0,84621,0.0,87973
               Recursos biológicos cultivados,2362.0,0.0,2599.0,0.0,2735.0,0.0,2616.0,0.0,2411.0,0.0,2443,0.0,2636
          Productos de la propiedad intelectual,41642.0,0.0,42391.0,0.0,41509.0,0.0,45816.0,0.0,52416.0,0.0,59746,0.0,63560
      Variación de existencias  ,10047.0,0.0,4998.0,0.0,-2463.0,0.0,17882.0,0.0,27102.0,0.0,6530,0.0,10468
      Adquisiciones menos cesiones de objetos valiosos,2467.0,0.0,2572.0,0.0,2584.0,0.0,2806.0,0.0,3186.0,0.0,3282,0.0,3648
    Exportaciones de bienes y servicios,422779.0,0.0,434731.0,0.0,344196.0,0.0,417060.0,0.0,545828.0,0.0,566403,0.0,590793
      Exportaciones de bienes,291787.0,0.0,295319.0,0.0,266277.0,0.0,317822.0,0.0,389293.0,0.0,386450,0.0,387683
      Exportaciones de servicios ,130992.0,0.0,139412.0,0.0,77919.0,0.0,99238.0,0.0,156535.0,0.0,179953,0.0,203110
          Gasto de los hogares no residentes en el territorio económico,56409.0,0.0,58365.0,0.0,14034.0,0.0,25208.0,0.0,58166.0,0.0,71794,0.0,83077
    Importaciones de bienes y servicios,389560.0,0.0,397309.0,0.0,327078.0,0.0,404834.0,0.0,533753.0,0.0,508954,0.0,524445
      Importaciones de bienes,320037.0,0.0,320513.0,0.0,273307.0,0.0,339124.0,0.0,449507.0,0.0,421500,0.0,421541
      Importaciones de servicios,69523.0,0.0,76796.0,0.0,53771.0,0.0,65710.0,0.0,84246.0,0.0,87454,0.0,102904
         Gasto de los hogares residentes en el resto del mundo,17323.0,0.0,19747.0,0.0,6157.0,0.0,8919.0,0.0,16859.0,0.0,20108,0.0,23736
