,,,,,,,,,,,,,
Contabilidad Nacional Anual de España. Revisión Estadística 2024,,,,,,,,,,,,,
,,,,,,,,,,,,,
 << Índice de tablas,,,,,,,,,,,,,
,,,,,,,,,,,,,
Remuneración de los asalariados,,,,,,,,,,,,,
,,,,,,,,,,,,,
Unidad: millones de euros,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ramas de actividad,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,,2023(P),,2024(A)
,,,,,,,,,,,,,
"Agricultura, ganadería, silvicultura y pesca ",6021.0,0.0,6434.0,0.0,6936.0,0.0,7517.0,0.0,7288.0,0.0,7259,0.0,7852
Industria,82747.0,0.0,85665.0,0.0,83271.0,0.0,86950.0,0.0,92554.0,0.0,98454,0.0,104814
   de los cuales: industria manufacturera ,71865.0,0.0,74301.0,0.0,72561.0,0.0,75575.0,0.0,80592.0,0.0,85641,0.0,90888
Construcción,31410.0,0.0,35858.0,0.0,35661.0,0.0,38363.0,0.0,42624.0,0.0,47297,0.0,52175
Servicios,430471.0,0.0,457876.0,0.0,435998.0,0.0,471363.0,0.0,513817.0,0.0,558779,0.0,598836
"   Comercio, transporte y hostelería",137266.0,0.0,144655.0,0.0,125965.0,0.0,138532.0,0.0,156729.0,0.0,172385,0.0,183972
   Información y comunicaciones,22044.0,0.0,23938.0,0.0,24078.0,0.0,27297.0,0.0,29218.0,0.0,33856,0.0,37346
   Actividades financieras y de seguros,19823.0,0.0,20344.0,0.0,19837.0,0.0,19870.0,0.0,19824.0,0.0,21326,0.0,22840
   Actividades inmobiliarias,4669.0,0.0,5656.0,0.0,4968.0,0.0,5167.0,0.0,5873.0,0.0,6128,0.0,6465
"   Actividades profesionales, científicas y técnicas y otras",60255.0,0.0,65803.0,0.0,66019.0,0.0,71982.0,0.0,79214.0,0.0,87189,0.0,94792
"   Administración pública, educación y sanidad",155902.0,0.0,165651.0,0.0,166323.0,0.0,177417.0,0.0,188073.0,0.0,199992,0.0,212738
"   Actividades artísticas, recreativas y otros servicios",30512.0,0.0,31829.0,0.0,28808.0,0.0,31098.0,0.0,34886.0,0.0,37903,0.0,40683
TOTAL,550649.0,0.0,585833.0,0.0,561866.0,0.0,604193.0,0.0,656283.0,0.0,711789,0.0,763677
,,,,,,,,,,,,,
Sueldos y salarios,,,,,,,,,,,,,
,,,,,,,,,,,,,
Unidad: millones de euros,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ramas de actividad,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,,2023(P),,2024(A)
,,,,,,,,,,,,,
"Agricultura, ganadería, silvicultura y pesca ",5337.0,0.0,5688.0,0.0,6128.0,0.0,6655.0,0.0,6458.0,0.0,6331,0.0,6855
Industria,63997.0,0.0,65676.0,0.0,63110.0,0.0,65634.0,0.0,70886.0,0.0,74946,0.0,79831
   de los cuales: industria manufacturera ,55630.0,0.0,56995.0,0.0,54937.0,0.0,56968.0,0.0,61675.0,0.0,65183,0.0,69191
Construcción,23982.0,0.0,27459.0,0.0,26951.0,0.0,29130.0,0.0,32891.0,0.0,36421,0.0,39976
Servicios,336947.0,0.0,355799.0,0.0,334728.0,0.0,365102.0,0.0,400169.0,0.0,433316,0.0,464825
"   Comercio, transporte y hostelería",108874.0,0.0,113427.0,0.0,96072.0,0.0,107121.0,0.0,122372.0,0.0,134098,0.0,143436
   Información y comunicaciones,17141.0,0.0,18384.0,0.0,18544.0,0.0,21337.0,0.0,23052.0,0.0,26477,0.0,29213
   Actividades financieras y de seguros,14562.0,0.0,14767.0,0.0,14330.0,0.0,14914.0,0.0,14654.0,0.0,15656,0.0,16837
   Actividades inmobiliarias,3643.0,0.0,4428.0,0.0,3870.0,0.0,4074.0,0.0,4631.0,0.0,4878,0.0,5133
"   Actividades profesionales, científicas y técnicas y otras",46918.0,0.0,50879.0,0.0,50652.0,0.0,55731.0,0.0,61704.0,0.0,67629,0.0,73507
"   Administración pública, educación y sanidad",121484.0,0.0,128721.0,0.0,128751.0,0.0,137479.0,0.0,146258.0,0.0,154842,0.0,164781
"   Actividades artísticas, recreativas y otros servicios",24325.0,0.0,25193.0,0.0,22509.0,0.0,24446.0,0.0,27498.0,0.0,29736,0.0,31918
TOTAL,430263.0,0.0,454622.0,0.0,430917.0,0.0,466521.0,0.0,510404.0,0.0,551014,0.0,591487
,,,,,,,,,,,,,
Cotizaciones sociales a cargo de los empleadores,,,,,,,,,,,,,
,,,,,,,,,,,,,
Unidad: millones de euros,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ramas de actividad,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,,2023(P),,2024(A)
,,,,,,,,,,,,,
"Agricultura, ganadería, silvicultura y pesca ",684.0,0.0,746.0,0.0,808.0,0.0,862.0,0.0,830.0,0.0,928,0.0,997
Industria,18750.0,0.0,19989.0,0.0,20161.0,0.0,21316.0,0.0,21668.0,0.0,23508,0.0,24983
   de los cuales: industria manufacturera ,16235.0,0.0,17306.0,0.0,17624.0,0.0,18607.0,0.0,18917.0,0.0,20458,0.0,21697
Construcción,7428.0,0.0,8399.0,0.0,8710.0,0.0,9233.0,0.0,9733.0,0.0,10876,0.0,12199
Servicios,93524.0,0.0,102077.0,0.0,101270.0,0.0,106261.0,0.0,113648.0,0.0,125463,0.0,134011
"   Comercio, transporte y hostelería",28392.0,0.0,31228.0,0.0,29893.0,0.0,31411.0,0.0,34357.0,0.0,38287,0.0,40536
   Información y comunicaciones,4903.0,0.0,5554.0,0.0,5534.0,0.0,5960.0,0.0,6166.0,0.0,7379,0.0,8133
   Actividades financieras y de seguros,5261.0,0.0,5577.0,0.0,5507.0,0.0,4956.0,0.0,5170.0,0.0,5670,0.0,6003
   Actividades inmobiliarias,1026.0,0.0,1228.0,0.0,1098.0,0.0,1093.0,0.0,1242.0,0.0,1250,0.0,1332
