,,,,,,,
Contabilidad Nacional de España.Revisión Estadística 2024,,,,,,,
,,,,,,,
Renta nacional disponible,,,,,,,
Precios corrientes,,,,,,,
Unidad: millones de euros,,,,,,,
,,,,,,,
Operaciones,2018.0,2019.0,2020.0,2021.0,2022.0,2023 (P),2024 (A)
Remuneración de los asalariados,553097.0,588298.0,564228.0,607322.0,659911.0,716316,768983
Impuestos netos de subvenciones sobre la producción y las importaciones,129158.0,130359.0,105335.0,129349.0,133964.0,145409,158583
Rentas de la propiedad netas ,-4859.0,-4120.0,-3419.0,2743.0,1664.0,-10718,-12387
Excedente de explotación bruto / Renta mixta bruta,535316.0,540378.0,465129.0,504308.0,587185.0,641853,675128
RENTA NACIONAL BRUTA,1212712.0,1254915.0,1131273.0,1243722.0,1382724.0,1492860,1590307
Consumo de capital fijo,180872.0,186825.0,191496.0,202240.0,223438.0,234657,245908
Renta nacional neta ,1031840.0,1068090.0,939777.0,1041482.0,1159286.0,1258203,1344399
Transferencias corrientes netas procedentes del resto del mundo,-10899.0,-11937.0,-10271.0,-10924.0,-13170.0,-11631,-11676
RENTA NACIONAL BRUTA DISPONIBLE,1201813.0,1242978.0,1121002.0,1232798.0,1369554.0,1481229,1578631
Renta nacional neta disponible,1020941.0,1056153.0,929506.0,1030558.0,1146116.0,1246572,1332723
Producto interior bruto a precios de mercado,1212276.0,1253710.0,1129214.0,1235474.0,1375863.0,1497761,1594330
Rentas primarias netas procedentes del resto del mundo,436.0,1205.0,2059.0,8248.0,6861.0,-4901,-4023
RENTA NACIONAL BRUTA,1212712.0,1254915.0,1131273.0,1243722.0,1382724.0,1492860,1590307
Consumo de capital fijo,180872.0,186825.0,191496.0,202240.0,223438.0,234657,245908
Renta nacional neta ,1031840.0,1068090.0,939777.0,1041482.0,1159286.0,1258203,1344399
Transferencias corrientes netas procedentes del resto del mundo,-10899.0,-11937.0,-10271.0,-10924.0,-13170.0,-11631,-11676
RENTA NACIONAL BRUTA DISPONIBLE,1201813.0,1242978.0,1121002.0,1232798.0,1369554.0,1481229,1578631
Renta nacional neta disponible,1020941.0,1056153.0,929506.0,1030558.0,1146116.0,1246572,1332723
Población total (miles de habitantes) (*),46715.0,47088.0,47345.0,47347.0,47786.0,48353,48857
Renta nacional disponible neta per cápita (euros) (*),21854.671946912127,22429.34505606524,19632.611680219663,21766.067543878176,23984.346879839282,25780.654768059892,27278.03590068977
,,,,,,,
(P) Estimación provisional,,,,,,,
(A) Estimación avance,,,,,,,
,,,,,,,
Nota: en esta tabla las operaciones de asignación y distribución de rentas están referidas a las rentas percibidas por el conjunto de unidades institucionales residentes teniendo en cuenta sus flujos netos con el resto del mundo. ,,,,,,,
,,,,,,,
(*) Población media anual residente en España,,,,,,,
"Fuentes: Censo Anual de Población, INE; Estadística Continua de Población, INE.",,,,,,,
Unidades: Miles de personas,,,,,,,
