Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB a precios de mercado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios Corrientes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Miles de Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual
ANDALUCÍA,161894301,0.13354574453342308,0.032558414440601036,,166478730,0.13278886664380118,0.028317420512535607,,150452909,0.13323684350353432,-0.09626347461925011,,166296356,0.13460125911188742,0.10530502271644337,,184364390,0.13399909002567842,0.10864960865408269,,199406067,0.1331361058272982,0.08158667191641511,,212359142,0.13319647877164703,0.06495827932858234
Almería,15282092,0.012606116098974161,0.00809425815870668,,16003582,0.01276497914190682,0.04721146816810151,,14764342,0.013074883945824263,-0.07743516420261409,,14861150,0.012028703153607441,0.0065568787284933094,,16494994,0.011988834644146983,0.10994061697782476,,18250223,0.012185003481863929,0.10640979923969662,,,,
Cádiz,22462629,0.01852930273304099,0.027549231505089145,,23352580,0.018626779717797578,0.03961918259879549,,20477353,0.01813416500326776,-0.12312245584856152,,22876782,0.0185166033441416,0.1171747637499827,,25860425,0.01879578490009543,0.13042232076172255,,26783989,0.017882685555305554,0.035713411515858606,,,,
Córdoba,14292383,0.01178971042897822,0.01270890104188882,,14237228,0.011356077561796588,-0.0038590485575428213,,13134510,0.011631550795509088,-0.0774531390520683,,14512133,0.011746206719040628,0.10488575515949972,,15518254,0.01127892384634226,0.06932964299596756,,17217243,0.011495320682004673,0.10948325758812816,,,,
Granada,16798633,0.01385710267298866,0.029683912190481943,,17538085,0.013988948799961714,0.04401858175007445,,15967883,0.014140705836094841,-0.08953098357089728,,17357256,0.014049066188361714,0.0870104697034666,,19181269,0.013941263774082158,0.10508648371608964,,20836996,0.013912096789808254,0.08631999269704216,,,,
Huelva,10616525,0.00875751479036127,0.0576477169198828,,10650577,0.008495247704812118,0.0032074525327261405,,9353422,0.008283126139066644,-0.12179199305352184,,10640222,0.008612258938674549,0.13757531735443984,,12859210,0.009346286657901258,0.20854715249362288,,13183665,0.008802248823410411,0.025231332251359095,,,,
Jaén,11635259,0.009597863027891338,0.04613106008614687,,11267290,0.008987158114715524,-0.03162533812096491,,10781405,0.00954770752045228,-0.043123501747092674,,11853935,0.009594645455914087,0.09947961327860333,,11738138,0.008531472973689967,-0.009768654881269434,,13052058,0.008714379664045199,0.11193598166932439,,,,
Málaga,31204388,0.025740333059468306,0.04391755803407249,,32530116,0.025947081861036444,0.04248530687414864,,28516619,0.025253511734711048,-0.12337788773947189,,32619883,0.02640272721238974,0.14389026974060282,,37226438,0.027056791264827965,0.14121923735900577,,41235144,0.027531190890936537,0.10768438280342596,,,,
Sevilla,39602392,0.03266780172172014,0.03425733944072418,,40899272,0.03262259374177441,0.03274751686716293,,37457375,0.033171192528608395,-0.08415545880621056,,41574995,0.03365104809975766,0.10992815166572667,,45485662,0.03305973196459241,0.0940629577947032,,48846749,0.03261317993992366,0.07389332928692993,,,,
ARAGÓN,37213896,0.030697544123615413,0.03419207402139146,,38465053,0.030680981247656954,0.03362069373225518,,35955571,0.031841237356249566,-0.0652405704471537,,38782157,0.03139050842025004,0.07861329750541302,,43668835,0.03173923203109612,0.12600325453790506,,46778120,0.031232032346949882,0.07120146438529895,,49634925,0.031132152691099084,0.06107139406201023
Huesca,6339722,0.005229602829718645,0.010287858612141543,,6567333,0.005238319069003198,0.03590236291118121,,6331038,0.005606588299472022,-0.03598035915035824,,6780105,0.005487857292019095,0.07093102268537965,,7631866,0.005546966522102854,0.12562652053323653,,8167881,0.005453394099592659,0.07023380651599487,,,,
Teruel,3381320,0.0027892328149695285,0.04920234346225105,,3422528,0.0027299199974475754,0.012186956573172703,,3120527,0.0027634505062813603,-0.08823916122819153,,3529024,0.0028564130042396684,0.13090641420503646,,4072915,0.0029602620319028857,0.1541193825828331,,4324273,0.002887158231520249,0.06171452141770706,,,,
Zaragoza,27492854,0.02267870847892724,0.038029192210552454,,28475192,0.02271274218120618,0.03573066659430846,,26504006,0.023471198550496186,-0.06922467809874644,,28473028,0.02304623812399128,0.07429148635115768,,31964054,0.02323200347709038,0.12260817500688725,,34285966,0.022891480015836973,0.07264134893527596,,,,
"ASTURIAS, PRINCIPADO DE",23185680,0.019125743642536847,0.02872505681115589,,23666618,0.018877266672515974,0.0207428895766697,,21376392,0.018930328529401866,-0.09677031166852823,,23617641,0.01911625902285277,0.10484692645980664,,26690102,0.019398807875493418,0.1300917818168208,,28350371,0.01892850127623833,0.06220541982192507,,30012308,0.01882440147271895,0.05862134925853346
"BALEARS, ILLES",33185968,0.027374927821717167,0.04535077228489115,,34350576,0.027399140152028777,0.03509338645779447,,26669106,0.023617406443774164,-0.2236198310037072,,30512146,0.02469671235493422,0.14410081837763888,,37189162,0.02702969845108125,0.21883141225137037,,41502526,0.027709712030157013,0.11598443654094703,,44692852,0.028032372219051263,0.07687064637945173
CANARIAS,44609266,0.0367979453523785,0.0365608533854771,,45766832,0.03650511840856338,0.025949003509719182,,37587399,0.03328633810774574,-0.17871966755313107,,41407275,0.03351529453472918,0.1016265052019163,,48908196,0.035547286321385194,0.18114983417768982,,53990089,0.03604719911921862,0.10390677668830794,,58144618,0.03646962548531358,0.07694984536884175
"Palmas, Las",22974312,0.018951387307840788,0.040047345187768535,,23478690,0.01872736916830846,0.021953998013085174,,19159502,0.016967113408087396,-0.18396205239730157,,21364107,0.017292235206892253,0.11506588219255387,,25483866,0.018522095586551858,0.19283553485291938,,28124631,0.018777782970714287,0.1036249758965142,,,,
Santa Cruz de Tenerife,21634954,0.017846558044537712,0.03288402265618129,,22288142,0.017777749240254923,0.03019132834763605,,18427897,0.016319224699658345,-0.17319725439653066,,20043168,0.016223059327836926,0.08765357219003334,,23424330,0.017025190734833336,0.16869399089006287,,25865458,0.017269416148504333,0.10421335423467815,,,,
CANTABRIA,13843935,0.011419788068063708,0.039488743937444726,,14274351,0.011385688077785134,0.031090582265808075,,12991241,0.011504675818755347,-0.08988920056680683,,14206538,0.011498856309400278,0.09354741398454536,,15557155,0.011307197736983987,0.09507010082259315,,16740663,0.011177125722995859,0.07607483501964207,,17700122,0.011101918674302057,0.057313082522478354
CASTILLA Y LEÓN,58326859,0.048113514579188235,0.043800947875271,,59649198,0.04757814646130285,0.02267118481384367,,54794589,0.04852453919274823,-0.08138598946460274,,59465900,0.04813205296104977,0.08525131924978946,,65467208,0.04758265030747974,0.10092015760292883,,69893920,0.046665602856530514,0.06761724129124302,,73992645,0.046409868095061875,0.058642082172526644
