Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual
ANDALUCÍA,19291,0.7433911368015415,0.03210101118185227,,19744,0.7415586854460093,0.02348245295733764,,17772,0.7451259905245063,-0.09987844408427882,,19591,0.7507856212156051,0.10235201440468145,,21569,0.7491317032509031,0.10096472870195505,,23165,0.7478370351239669,0.07399508553943157,,24542,0.7520607973523734,0.05944312540470542
Almería,21567,0.8310982658959537,0.004658312759118655,,22268,0.8363568075117371,0.03250336161728562,,20335,0.8525847972831327,-0.08680617927070233,,20292,0.7776500344906875,-0.002114580772067831,,22098,0.767504862461795,0.08900059136605565,,24103,0.7781185433884298,0.09073219295863888,,,,
Cádiz,18079,0.6966859344894027,0.0281505914467699,,18767,0.7048638497652582,0.038055202168261415,,16418,0.6883568823110142,-0.12516651569243886,,18313,0.7018088449451981,0.115422097697649,,20644,0.7170047235343151,0.12728662698629378,,21311,0.6879842458677686,0.032309629916682736,,,,
Córdoba,18275,0.7042389210019268,0.017142539099460175,,18225,0.6845070422535211,-0.002735978112175075,,16851,0.7065112573896273,-0.07539094650205758,,18710,0.7170230704376485,0.11031986232271085,,20022,0.6954015004167824,0.0701229289150187,,22226,0.7175232438016529,0.1100789131954849,,,,
Granada,18353,0.7072447013487476,0.02840972767006611,,19091,0.7170328638497653,0.04021140957881553,,17310,0.7257557335122217,-0.09329003195222885,,18776,0.7195523875220358,0.08469093009820905,,20624,0.7163100861350375,0.09842351938645089,,22240,0.7179752066115702,0.07835531419705188,,,,
Huelva,20380,0.7853564547206165,0.0549746350553888,,20329,0.7635305164319249,-0.002502453385672232,,17800,0.7462999454949478,-0.12440356141472775,,20086,0.7697554993485093,0.1284269662921349,,24145,0.838601000277855,0.20208105147864175,,24647,0.7956805268595041,0.02079105404845727,,,,
Jaén,18320,0.7059730250481696,0.05396387067080899,,17840,0.6700469483568076,-0.026200873362445365,,17140,0.7186281497631126,-0.039237668161434924,,18955,0.7264122020387829,0.10589264877479576,,18859,0.6550083356487914,-0.00506462674756003,,21057,0.6797843491735537,0.11654912773741977,,,,
Málaga,18922,0.7291714836223506,0.04029908186266429,,19477,0.7315305164319249,0.0293309375330304,,16913,0.7091107291098906,-0.13164245006931252,,19145,0.7336935694029278,0.13196949092414112,,21470,0.745693248124479,0.12144162966832073,,23380,0.7547778925619835,0.08896134140661394,,,,
Sevilla,20429,0.7872447013487476,0.033124304642459856,,21043,0.7903474178403755,0.030055313524891103,,19208,0.8053331097228628,-0.08720239509575634,,21346,0.8180424618686288,0.11130778842149103,,23273,0.8083148096693527,0.09027452450107742,,24871,0.8029119318181818,0.06866325785244709,,,,
