Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PIB precios de mercado,,,,,,,,,,,,,,,
Variaciones de Volumen,,,,,,,,,,,,,,,
Comunidad Autónoma,2018 /2017,,2019 /2018,,2020 /2019,,2021 /2020,,2022 /2021,,2023 (P) /2022,,2024 (A) /2023 (P),,Crecimiento Medio
,,,,,,,,,,,,,,,2024 (A) /2010
ANDALUCÍA,0.02502966334145218,,0.018703938194834846,,-0.10752754420940136,,0.06536873275079058,,0.05362892618043902,,0.019492701383385436,,0.03654024227858632,,0.010388545032007368
ARAGÓN,0.026425996283189868,,0.01064384658891937,,-0.08482871452172447,,0.05456000128603167,,0.03633637499843023,,0.01316739958828772,,0.03068287053861929,,0.007517310421846668
"ASTURIAS, PRINCIPADO DE",0.016337147838385357,,0.012764861759499757,,-0.1033031420036441,,0.053963129044414915,,0.04821561137287156,,0.017138975339996865,,0.030036961421069153,,0.0034116952047054117
"BALEARS, ILLES",0.02996391605421378,,0.018715108747166864,,-0.2265999848153929,,0.11533026266422275,,0.1606411427108405,,0.03788248845187736,,0.04151831625862967,,0.017782693052242227
CANARIAS,0.024004620892833062,,0.016205579352056576,,-0.1875627091689458,,0.08608736135213824,,0.12684068198160836,,0.04098167922611573,,0.04422871019901442,,0.012657989363825672
CANTABRIA,0.02194537432470267,,0.013195381226508207,,-0.09932640720408226,,0.07133098369893998,,0.04689685833381785,,0.01871299733145304,,0.02488605140668554,,0.007438698756862205
CASTILLA Y LEÓN,0.028860511889440055,,0.006662282294337185,,-0.08613775494517129,,0.049599222288171596,,0.0402620661589248,,0.014052607833833441,,0.028541509762222583,,0.005821306340194177
CASTILLA - LA MANCHA,0.028400725169362318,,0.010008080929892138,,-0.07877923005768883,,0.056852450268741084,,0.03178656615474407,,0.0023719610909958,,0.034560282406635556,,0.006396918997398915
CATALUÑA,0.02251394649372629,,0.02180594087301646,,-0.11911529391747167,,0.0717835154273343,,0.06434236919499003,,0.028829633120440068,,0.0371079875749285,,0.01291134412652517
COMUNITAT VALENCIANA,0.02232695694335529,,0.01951223336772867,,-0.10467287999381891,,0.07602484278570976,,0.05493141127061141,,0.024533663056494737,,0.032906829109732305,,0.011743664201795179
EXTREMADURA,0.016189903332479494,,0.018799798428581038,,-0.09251246283449432,,0.04432296236466682,,0.021919013868026083,,0.02067953937226874,,0.026548772328716108,,0.006128611978982734
GALICIA,0.0209003495448159,,0.014496667747443848,,-0.0892045138751888,,0.059601613213904336,,0.05406312037578287,,0.026503865403251003,,0.029281237854032804,,0.011431333873789029
"MADRID, COMUNIDAD DE",0.029622090799489298,,0.028841323277261743,,-0.10232347201338943,,0.06378498944811528,,0.08107085073550735,,0.03414821419809,,0.035511007480642176,,0.019493703249306105
"MURCIA, REGIÓN DE ",-0.0017472474945090521,,0.02344767178159346,,-0.08949099216254852,,0.07211767187885698,,0.040256975283826435,,0.010795032081437839,,0.044439406355738065,,0.014776786668605046
"NAVARRA, COMUNIDAD FORAL DE",0.018786581554180337,,0.023280248883239985,,-0.10112918354906542,,0.06881565969890713,,0.05334532890492327,,0.012502373464703398,,0.03299822192867086,,0.012324379825641607
PAÍS VASCO,0.02133726673142644,,0.01484300010327444,,-0.10250544523788463,,0.06400794521311437,,0.06424820565694467,,0.017527962213347514,,0.02639393618122421,,0.011146563783950958
"RIOJA, LA",0.01936837583023454,,0.013693644700510488,,-0.0869256761278997,,0.05044305455718057,,0.05644083221246032,,0.02467210287537136,,0.031793559964301554,,0.007195345382252416
CEUTA,0.02127877330041117,,0.010540142760702143,,-0.08843786578022972,,0.035559913994626546,,0.03273610990412523,,0.014664904470676143,,0.010997051312952255,,0.006577862711438565
MELILLA,0.02401524604359717,,0.015714433213493306,,-0.08986597662587226,,0.03318937405606359,,0.03014811739641332,,0.023863944477288568,,0.013206619732605951,,0.009724767106562338
TOTAL NACIONAL,0.023954209486301226,,0.019611870564129052,,-0.10940089813433729,,0.06683144204730018,,0.06370348546387872,,0.02460855477616586,,0.03455224164603021,,0.012526105055048475
,,,,,,,,,,,,,,,
(P) Estimación provisional,,,,,,,,,,,,,,,
(A) Estimación avance,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
     Volver a Índice,,,,,,,,,,,,,,,
