fichero,indicador,fuente_url_api,organismo,cobertura_temporal_real,granularidad,fecha_descarga,notas
ine_9675_2018_2022.json,Stock de población residente por país de nacimiento sexo y edad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/9675?tip=AM,INE,2018-2022,Nacional; fecha; sexo; edad; país de nacimiento,2026-08-20,Serie histórica ECP; origen medido por nacimiento
ine_9681_2018_2022.json,Stock de población residente por país de nacimiento sexo y edad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/9681?tip=AM,INE,2018-2022,Provincia; fecha; sexo; edad; país de nacimiento,2026-08-20,Serie histórica ECP; origen medido por nacimiento
ine_79274_2018_2025.json,Stock de población residente por nacimiento y nacionalidad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/79274?tip=AM,INE,2025,Trimestral nacional; sexo; nacionalidad; España/extranjero de nacimiento,2026-08-20,Nacionalidad es secundaria; permite separar españoles nacidos fuera
ine_70364_2018_2025.json,Población por año de llegada a España y provincia y país de nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/70364?tip=AM,INE,2021-2025,Provincia; sexo; nacimiento España/extranjero; años de llegada,2026-08-20,Censo anual; fichero grande y de máxima riqueza longitudinal
ine_79569_2018_2025.json,Población según residencia un año antes por país de nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/79569?tip=AM,INE,2021-2025,Provincia; sexo; edad; nacimiento España/extranjero; residencia previa,2026-08-20,Indicador de movilidad reciente
ine_69694_2018_2025.json,Inmigraciones exteriores por país de nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69694?tip=AM,INE,2021-2024,CCAA y provincia; año; país de nacimiento,2026-08-20,Nueva EMCR
ine_24324_2018_2025.json,Flujo de inmigración exterior por país de nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/24324?tip=AM,INE,2018-2021,Provincia; año; país de nacimiento,2026-08-20,Serie anterior enlazable conceptualmente con cautela
ine_33548_2018_2025.json,Flujo de inmigración exterior por nacimiento sexo y edad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/33548?tip=AM,INE,2018-2021,Provincia; año; sexo; edad; nacimiento España/extranjero,2026-08-20,Serie anterior detallada
ine_33549_2018_2025.json,Flujo de emigración exterior por nacimiento sexo y edad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/33549?tip=AM,INE,2018-2021,Provincia; año; sexo; edad; nacimiento España/extranjero,2026-08-20,Serie anterior detallada
ine_24428_2018_2025.json,Saldo migratorio exterior por país de nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/24428?tip=AM,INE,2018-2022,Provincia; semestre; país de nacimiento,2026-08-20,Saldo neto; no confundir con entradas
ine_76246_2018_2025.json,Emigraciones por año de llegada y país de nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76246?tip=AM,INE,2021-2024,Nacional; año; sexo; año llegada; nacimiento España/extranjero,2026-08-20,Nueva EMCR
ine_76843_2018_2025.json,Emigraciones por año de llegada,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/76843?tip=AM,INE,2021-2024,CCAA y provincia; año; sexo; año de llegada,2026-08-20,Nueva EMCR
ine_69723_2018_2025.json,Migraciones interprovinciales por país de nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69723?tip=AM,INE,2021-2024,Año; sexo; edad; país de nacimiento,2026-08-20,Movilidad interior; no sumar a flujo exterior
ine_69728_2018_2025.json,Migraciones intermunicipales por nacimiento y nacionalidad,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69728?tip=AM,INE,2021-2024,Año; sexo; nacionalidad agrupada; nacimiento agrupado,2026-08-20,Nacionalidad secundaria
ine_15073_2018_2025.json,Adquisiciones de nacionalidad española por relación con nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/15073?tip=AM,INE,2018-2025,Nacional; nacionalidad previa; país de nacimiento,2026-08-20,Control del cambio de clasificación por naturalización
ine_17561_2018_2025.json,Adquisiciones de nacionalidad española por relación con nacimiento,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/17561?tip=AM,INE,2018-2025,Provincia; nacionalidad previa; país de nacimiento,2026-08-20,Control territorial del cambio de clasificación
ine_contabilidad_regional_tabla_1_2018_2024.csv,PIB regional nominal,https://www.ine.es/daco/daco42/cre00/b2024/pr_cre.xlsx,INE,2018-2024,CCAA y provincia; precios corrientes; estructura y tasa,2026-08-20,Filtrado de fuente XLSX oficial RE2024
ine_contabilidad_regional_tabla_2_2018_2024.csv,PIB per cápita regional,https://www.ine.es/daco/daco42/cre00/b2024/pr_cre.xlsx,INE,2018-2024,CCAA y provincia; euros; índice España=100; tasa,2026-08-20,PIB per cápita no equivale a renta disponible
ine_contabilidad_regional_tabla_3_2018_2024.csv,Crecimiento real del PIB regional,https://www.ine.es/daco/daco42/cre00/b2024/pr_cre.xlsx,INE,2018-2024,CCAA; variaciones de volumen interanuales,2026-08-20,Medida real; RE2024
ine_contabilidad_regional_tabla_4_2018_2024.csv,Población media usada en cuentas regionales,https://www.ine.es/daco/daco42/cre00/b2024/pr_cre.xlsx,INE,2018-2024,CCAA y provincia; población 1 julio,2026-08-20,Denominador coherente con PIB per cápita
ine_cna_pib95_24_sheet1_2018_2024.csv,Índice de tablas PIB y componentes,https://www.ine.es/daco/daco42/cne24/pib95_24.xlsx,INE,2018-2024,Nacional anual,2026-08-20,Hoja índice filtrada
ine_cna_pib95_24_sheet2_2018_2024.csv,PIB nominal y componentes por demanda oferta y rentas,https://www.ine.es/daco/daco42/cne24/pib95_24.xlsx,INE,2018-2024,Nacional anual; millones euros,2026-08-20,Precios corrientes RE2024
ine_cna_pib95_24_sheet3_2018_2024.csv,Tasas nominales PIB y componentes,https://www.ine.es/daco/daco42/cne24/pib95_24.xlsx,INE,2018-2024,Nacional anual; porcentaje,2026-08-20,Precios corrientes
ine_cna_pib95_24_sheet4_2018_2024.csv,Índices de volumen encadenado PIB y componentes,https://www.ine.es/daco/daco42/cne24/pib95_24.xlsx,INE,2018-2024,Nacional anual; referencia 2020,2026-08-20,Medida real
ine_cna_pib95_24_sheet5_2018_2024.csv,Tasas reales PIB y componentes,https://www.ine.es/daco/daco42/cne24/pib95_24.xlsx,INE,2018-2024,Nacional anual; porcentaje,2026-08-20,Variaciones de volumen
ine_cna_pib95_24_sheet6_2018_2024.csv,Aportaciones demanda nacional y externa,https://www.ine.es/daco/daco42/cne24/pib95_24.xlsx,INE,2018-2024,Nacional anual; puntos porcentuales,2026-08-20,Componentes del crecimiento
ine_cna_rnd_95_24_sheet1_2018_2024.csv,Renta nacional disponible,https://www.ine.es/daco/daco42/cne24/rnd_95_24.xlsx,INE,2018-2024,Nacional anual; operaciones; millones euros,2026-08-20,Complementa PIB con rentas
