path,bytes,format,visible_years_sample,parse_status,detail
data_raw/bienestar_empleo/arope_europa2030_tipo_hogar.json,18129,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/epa_inactivos_clase_sexo_ccaa_trimestral.json,2755637,json,1903;1906;1926;1927;1932;1942;1949;1977;2009;2018;2019;2020;2021;2022;2023;2024;2025;2034;2036;2041;2043;2049;2052;2053;2061;2065;2071;2082;2083;2084,ok,
data_raw/bienestar_empleo/epa_tasa_actividad_nacionalidad_sexo_ccaa_trimestral.json,1926957,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/epa_tasa_actividad_nacionalidad_sexo_edad_trimestral.json,945884,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/epa_tasa_empleo_nacionalidad_sexo_ccaa_trimestral.json,1935254,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/epa_tasa_paro_nacionalidad_sexo_ccaa_trimestral.json,1932248,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/epa_tasas_actividad_paro_empleo_provincia_sexo_trimestral.json,3039223,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/epf_gasto_medio_hogar_persona_detalle_coicop.json,218058,json,1905;1925;1983;2006;2011;2017;2018;2019;2020;2021;2022;2023;2057;2084,ok,
data_raw/bienestar_empleo/ganancia_media_anual_sexo_tipo_contrato.json,369930,json,2018;2019;2020;2021;2022;2023;2024,ok,
data_raw/bienestar_empleo/hipotecas_plazo_medio.json,35531,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/hipotecas_total_fincas_nacional_provincias.json,11394174,json,1902;1903;1904;1907;1911;1912;1913;1914;1915;1917;1918;1923;1924;1933;1935;1936;1938;1939;1940;1955;1956;1957;1958;1960;1965;1968;1970;1971;1973;1975;1976;1978;1979;1981;1982;1984;1988;1996;1999;2001;2002;2006;2007;2012;2014;2018;2019;2020;2021;2022;2023;2024;2025;2028;2029;2035;2039;2040;2042;2044;2046;2048;2051;2053;2056;2061;2068;2069;2071;2075;2082;2083;2086;2087;2092;2095;2099,ok,
data_raw/bienestar_empleo/ipc_nacional_mensual_grupos.json,919350,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/ipc_tasa_variacion_general_ccaa_mensual.json,1053370,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/ipv_media_anual_ccaa_tipo_vivienda_base2015.json,229501,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/metadata.csv,4267,csv,2011;2015;2018;2020;2021;2023;2024;2025;2026;2030,ok,
data_raw/bienestar_empleo/renta_neta_media_persona_unidad_consumo_ccaa.json,203300,json,2004;2006;2013;2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/bienestar_empleo/salario_medio_por_decil.json,46122,json,1911;1916;1928;2017;2018;2019;2020;2021;2022;2023;2024;2056;2058;2059;2061;2063,ok,
data_raw/bienestar_empleo/vacantes_ccaa_trimestral.json,121860,json,1902;1977;2009;2015;2018;2019;2020;2021;2022;2023;2024;2025;2032;2045;2050;2086,ok,
data_raw/criminalidad/ine_25645_condenados_sexo_edad_nacionalidad.json,602039,json,1907;1919;1945;1956;1957;1959;1995;2005;2009;2013;2018;2019;2020;2021;2022;2023;2024;2025;2027;2037;2053;2071;2092;2093;2097,ok,
data_raw/criminalidad/ine_25698_condenados_sexo_nacionalidad_num_delitos.json,303635,json,1904;1906;1927;1936;1961;1964;1971;1985;2013;2018;2019;2020;2021;2022;2023;2024;2025;2027;2034;2051;2053;2086;2097,ok,
data_raw/criminalidad/ine_25699_condenados_sexo_edad_nacionalidad_num_delitos.json,1103007,json,1901;1904;1905;1906;1907;1908;1912;1916;1922;1925;1926;1928;1929;1934;1935;1936;1941;1942;1944;1950;1953;1959;1962;1964;1968;1969;1971;1972;1974;1977;1978;1979;1980;1981;1982;1985;1986;1987;1988;1991;1995;1996;2000;2002;2004;2005;2009;2012;2013;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2029;2030;2032;2035;2043;2047;2051;2053;2058;2059;2063;2066;2068;2071;2076;2078;2083;2084;2085;2086;2088;2090;2093;2095,ok,
data_raw/criminalidad/ine_26014_delitos_nacionalidad.json,1157720,json,1908;1911;1913;1920;1928;1931;1932;1945;1950;1982;1985;1998;2017;2018;2019;2020;2021;2022;2023;2024;2025;2028;2033;2034;2036;2042;2054;2060;2063;2064;2077;2082;2094,ok,
data_raw/criminalidad/ine_28752_delitos_sexuales_nacionalidad.json,64953,json,2018;2019;2020;2021;2022;2023;2024;2025,ok,
data_raw/criminalidad/ine_28857_condenados_delitos_sexuales_sexo_edad_nacionalidad.json,647759,json,1917;1946;1980;2018;2019;2020;2021;2022;2023;2024;2025,ok,
